A1,A2,A3,B1,B2,B3,C1,C2,C3,
1,1,3,5,5,4,0,0,0,
0,2,3,6,6,4,0,0,0,
0,2,3,7,6,4,0,0,0,
0,1,4,6,8,3,0,0,0,
0,3,4,6,7,4,0,0,0,
0,1,5,8,6,4,0,0,0,
0,2,4,8,7,4,0,0,0,
1,1,4,8,7,4,0,0,0,
0,1,3,7,6,3,0,3,3,
0,1,4,6,6,4,0,0,0,
0,3,5,6,7,4,0,0,1,
0,3,5,7,7,4,0,0,2,
0,2,4,6,7,3,0,0,0,
0,2,4,8,7,4,1,2,3,
0,3,4,6,6,4,1,2,2,
0,2,4,7,5,3,1,3,2,
1,1,6,8,7,5,1,2,2,
0,2,4,7,6,4,0,2,1,
0,2,4,7,6,4,1,2,3,
0,1,4,6,5,3,1,2,3,
1,1,4,6,6,3,0,1,3,
0,2,5,6,5,2,0,3,3,
0,2,4,8,6,4,2,3,3,
0,2,5,8,7,4,1,3,2,
0,2,4,7,7,4,2,2,4,
0,1,5,7,8,4,2,3,4,
0,2,5,6,6,3,1,3,4,
0,1,4,7,6,4,0,3,4,
0,1,4,6,7,4,1,2,4,
0,2,4,7,7,5,1,3,2,
0,2,4,7,6,4,0,3,3,
0,0,3,6,6,3,2,3,4,
0,2,3,7,6,4,0,3,4,
0,1,3,6,7,4,1,3,4,
0,2,3,7,6,4,1,2,3,
0,1,4,7,5,3,1,2,2,
0,2,1,6,5,3,0,0,1,
1,1,2,6,5,3,1,1,1,
0,2,2,7,5,3,0,1,1,
0,2,2,4,6,3,0,1,0,
0,0,2,2,5,2,0,2,2,
0,0,0,3,3,2,0,4,6,
0,0,1,3,3,3,2,5,19,
0,0,0,3,1,1,0,9,37,
0,0,0,3,3,2,2,13,48,
0,0,0,3,2,3,1,11,53,
0,0,0,4,4,2,2,10,55,
0,0,1,4,2,3,1,14,63,
0,0,0,6,3,3,0,10,63,
0,0,0,3,3,3,0,5,39,
0,0,1,3,3,3,1,2,24,
0,0,0,3,2,2,1,2,17,
0,1,0,5,3,3,0,3,15,
0,0,1,5,3,2,0,3,18,
0,0,0,5,4,2,1,3,26,
0,0,1,6,3,3,0,4,38,
0,0,0,6,4,1,1,6,44,
0,0,0,5,2,1,1,6,46,
0,0,0,6,4,2,1,4,43,
0,0,2,6,3,2,2,6,36,
0,0,1,6,2,1,0,4,32,
0,0,2,6,3,1,2,5,39,
0,0,1,6,3,1,0,6,47,
0,0,1,7,4,1,1,6,47,
0,0,0,6,3,2,1,4,44,
0,0,0,6,3,3,1,5,48,
0,0,0,7,3,1,1,5,49,
0,0,2,7,3,3,1,4,47,
0,0,1,6,3,3,1,3,44,
0,0,0,6,2,3,2,2,49,
1,0,1,5,3,3,1,4,54,
0,0,0,4,1,3,2,5,70,
0,0,1,5,2,3,2,6,81,
0,0,1,6,2,3,1,6,70,
0,0,0,6,2,2,2,4,67,
0,0,0,6,3,3,2,5,76,
