A1,A2,A3,B1,B2,B3,C1,C2,C3,
36,71,89,201,98,101,41,52,32,
35,72,89,202,98,101,41,53,33,
33,71,88,203,99,102,41,51,32,
34,72,90,203,99,103,41,52,33,
34,72,90,203,99,103,41,52,33,
35,71,90,203,101,104,41,52,33,
35,71,90,203,100,103,41,51,33,
36,72,91,203,100,102,42,52,32,
35,71,91,203,100,102,40,52,33,
35,73,91,204,100,102,40,52,33,
34,72,91,203,100,102,41,52,33,
34,73,90,204,99,102,41,53,33,
34,72,90,204,101,102,40,53,33,
35,72,90,204,100,103,41,53,32,
34,72,90,204,99,104,41,53,33,
35,73,91,205,100,103,41,54,32,
35,73,90,205,100,103,41,53,33,
35,73,91,205,100,102,41,51,32,
36,73,91,205,100,102,41,53,34,
34,72,90,205,100,102,41,52,34,
36,72,91,205,99,102,41,52,33,
35,73,91,205,100,103,41,53,34,
35,73,91,205,100,102,40,52,32,
34,73,91,205,101,103,42,52,32,
35,72,91,205,99,103,41,52,32,
35,73,91,204,99,102,41,52,33,
35,72,91,205,100,103,41,51,33,
36,73,92,206,101,104,41,52,32,
35,73,91,205,100,103,41,52,34,
34,74,91,205,100,102,41,52,34,
34,72,91,204,100,103,41,53,34,
35,73,91,204,101,102,41,53,32,
34,73,90,205,100,103,42,52,34,
34,72,91,204,101,103,42,52,33,
34,73,91,205,101,102,42,53,34,
35,73,91,205,101,104,42,52,34,
34,72,92,205,100,103,40,52,33,
35,72,92,205,100,103,42,54,33,
35,73,91,205,100,102,42,52,34,
34,72,92,204,100,103,41,53,33,
36,73,91,205,100,103,41,52,33,
35,72,91,204,100,103,41,54,33,
35,73,91,205,100,103,40,54,32,
35,73,92,204,100,104,41,53,32,
34,73,91,205,100,102,41,52,32,
34,73,92,204,100,102,42,54,33,
35,72,91,205,100,103,41,53,32,
36,74,92,205,100,103,42,53,33,
35,73,93,205,99,102,40,53,33,
35,73,92,204,100,103,41,53,33,
35,73,93,205,100,102,41,52,34,
34,73,92,205,100,102,40,53,34,
34,72,92,205,100,102,41,51,34,
35,73,92,205,100,102,41,53,34,
36,73,91,206,100,103,42,53,33,
36,73,92,205,100,103,41,52,33,
35,73,92,205,99,104,41,53,32,
34,72,92,205,100,102,40,53,35,
34,73,92,204,100,103,41,51,34,
35,73,92,204,100,103,41,53,32,
36,74,92,205,100,103,41,52,34,
35,73,91,206,100,104,42,52,33,
35,73,91,205,100,103,41,51,33,
35,74,91,205,101,103,42,52,33,
35,73,92,205,100,104,40,52,34,
36,73,92,206,100,104,41,52,33,
35,73,91,205,100,103,41,53,34,
35,74,91,205,101,103,41,54,33,
35,74,91,205,100,102,40,53,34,
35,72,91,204,100,102,41,53,33,
35,73,92,204,100,103,41,53,33,
35,74,91,204,101,102,41,52,34,
36,74,92,205,100,102,41,52,33,
34,73,92,204,101,103,41,53,34,
34,73,92,204,100,104,40,53,33,
35,73,92,205,100,103,41,52,32,
35,73,92,204,100,104,40,53,33,
35,73,91,205,100,103,41,52,33,
35,73,92,205,101,103,41,52,34,
35,73,90,205,101,103,40,52,33,
35,72,92,205,102,104,40,54,33,
36,73,92,204,101,104,41,52,33,
35,73,92,205,100,103,41,53,34,
35,74,92,206,100,103,40,54,33,
34,71,92,204,101,102,41,53,34,
35,73,92,204,101,104,41,52,34,
35,73,92,205,101,103,41,54,33,
34,74,92,205,100,103,40,53,33,
33,72,91,205,100,103,40,54,34,
36,73,92,206,100,103,40,52,34,
35,73,91,205,100,103,42,53,33,
35,74,92,204,101,103,42,52,33,
34,74,92,205,101,104,41,53,34,
35,72,91,204,100,104,41,52,33,
35,73,92,204,100,102,41,53,34,
35,73,91,204,100,103,41,52,34,
34,72,91,206,102,103,41,53,34,
35,72,91,206,100,104,40,53,32,
35,74,91,205,101,103,42,52,33,
34,73,92,205,101,103,41,53,33,
36,72,93,205,100,103,41,54,33,
34,72,91,204,101,103,41,53,33,
34,73,92,205,101,104,42,53,33,
35,72,92,205,100,103,41,53,34,
35,73,91,206,100,103,41,54,33,
35,74,92,205,101,103,40,53,34,
35,74,92,204,99,104,40,52,34,
34,73,92,205,101,103,41,52,33,
34,74,92,205,100,103,41,53,33,
36,73,91,205,100,104,41,53,33,
35,73,91,206,101,104,40,52,34,
35,72,92,205,101,103,41,53,34,
34,74,92,204,101,103,40,54,34,
34,73,92,205,101,103,41,53,34,
34,72,91,205,101,103,41,53,34,
35,74,92,204,99,104,41,52,33,
35,72,92,204,99,103,41,53,33,
34,72,92,205,99,103,40,53,33,
35,73,92,204,100,103,41,53,34,
35,73,92,205,101,103,41,53,34,
35,74,92,205,100,103,42,53,34,
35,73,92,205,100,102,40,52,34,
34,73,92,204,101,103,41,53,34,
35,72,93,205,100,103,41,52,33,
34,74,93,205,99,102,40,52,34,
35,73,92,204,100,103,41,52,34,
35,74,93,205,101,103,41,53,33,
34,73,93,205,100,103,41,54,34,
35,73,93,205,101,103,41,53,34,
35,72,92,205,100,103,42,53,34,
35,73,93,205,100,104,41,53,33,
36,73,91,205,99,103,40,52,33,
34,73,91,205,100,103,41,52,34,
35,72,92,206,100,102,40,53,33,
36,72,92,205,100,102,40,53,33,
35,74,92,205,100,103,42,53,34,
35,74,93,205,100,103,41,53,33,
35,73,92,204,100,102,41,52,34,
35,74,93,205,100,104,40,54,33,
36,72,92,204,99,103,40,53,34,
36,73,92,205,100,102,40,51,34,
35,73,92,204,100,104,41,52,34,
35,73,91,204,101,103,40,53,33,
36,73,92,205,100,103,41,53,34,
35,73,92,204,100,103,42,52,34,
36,73,92,204,100,103,40,53,33,
36,72,92,204,100,104,41,52,33,
35,73,93,205,101,103,40,53,34,
35,73,91,204,100,103,40,52,34,
34,73,92,205,101,102,41,52,34,
36,73,92,205,100,102,41,53,34,
35,73,93,205,100,102,40,53,32,
34,72,92,205,100,102,40,53,33,
35,73,93,205,101,103,41,54,34,
36,74,92,206,100,103,41,53,33,
34,74,93,205,100,103,40,53,33,
35,73,93,206,101,104,41,52,34,
34,73,93,206,100,103,42,53,33,
36,72,92,205,101,104,42,52,34,
36,72,92,205,100,103,41,53,34,
36,73,92,206,100,105,41,52,33,
35,73,91,206,101,103,40,53,34,
35,73,92,205,99,103,41,51,34,
35,74,92,205,101,104,41,53,33,
36,73,92,205,101,103,40,53,33,
35,73,91,206,100,104,42,53,34,
35,72,92,205,100,104,41,52,32,
35,73,92,205,101,103,41,53,33,
35,73,92,206,101,103,41,53,33,
35,73,93,205,101,103,41,53,32,
35,73,92,205,101,103,40,54,34,
34,73,92,205,100,103,41,53,33,
36,73,93,205,100,104,41,52,34,
35,73,93,205,100,104,41,53,33,
36,73,93,204,101,103,42,52,34,
34,73,93,205,100,104,39,53,33,
35,73,92,205,101,104,41,54,34,
35,73,92,205,100,103,42,53,33,
34,73,93,206,100,104,40,53,34,
36,73,93,206,101,103,41,53,33,
34,74,92,205,100,103,42,53,33,
35,72,93,204,101,104,40,53,33,
34,72,92,205,101,104,41,52,34,
34,73,92,205,101,104,42,53,35,
36,72,91,205,101,103,40,54,33,
36,74,93,205,101,104,42,53,34,
36,73,92,205,99,103,41,53,34,
36,72,91,206,101,104,40,53,34,
35,74,92,205,100,104,41,53,33,
35,73,92,205,101,104,41,52,34,
35,74,93,206,101,103,40,53,34,
35,74,93,206,100,103,40,53,34,
35,74,93,206,101,104,42,54,34,
35,73,92,205,100,104,40,52,32,
36,73,92,205,101,104,41,52,33,
35,73,93,205,101,103,42,53,34,
35,72,92,206,100,103,42,53,34,
35,74,92,206,101,104,41,53,34,
35,72,92,205,101,103,41,52,34,
35,73,92,206,100,104,40,52,33,
35,73,93,205,101,104,41,53,33,
35,74,92,205,101,103,40,54,34,
36,73,92,205,100,103,40,52,33,
34,74,93,206,100,103,41,52,33,
36,73,92,206,99,104,41,53,33,
36,73,92,205,101,104,40,52,34,
35,74,92,205,99,103,40,52,34,
36,73,91,206,100,104,40,53,35,
35,73,92,206,100,104,41,53,33,
35,73,92,205,100,104,41,53,34,
35,73,92,206,101,104,41,53,34,
34,72,94,206,99,103,42,53,35,
34,73,92,205,100,104,40,52,33,
36,73,92,205,100,103,41,53,34,
34,73,92,205,100,104,41,53,34,
35,73,92,206,100,104,41,53,33,
34,73,92,206,100,104,41,53,34,
36,73,93,205,100,104,40,53,34,
35,73,92,205,100,104,41,53,34,
35,73,91,205,99,103,40,52,35,
36,73,92,205,99,104,40,53,34,
36,73,92,206,101,104,41,53,34,
36,72,93,206,100,104,41,53,34,
34,73,91,206,100,104,41,53,35,
36,73,92,206,100,103,41,52,34,
35,73,92,204,100,104,41,53,34,
34,74,92,206,100,104,40,53,33,
35,73,92,204,100,103,41,53,33,
34,73,92,206,100,103,41,53,34,
34,74,91,206,100,104,42,53,34,
36,73,92,206,100,103,41,51,33,
36,73,93,206,100,104,40,53,34,
36,73,93,205,99,104,41,53,33,
33,74,92,205,100,103,41,52,34,
34,72,92,205,101,103,41,52,35,
34,73,93,205,100,103,40,54,34,
36,73,93,205,100,103,41,52,34,
35,74,93,207,101,104,41,53,34,
35,73,92,206,100,103,41,54,34,
35,74,92,205,100,104,41,53,34,
35,73,92,205,100,104,40,53,33,
35,74,93,205,100,103,41,52,34,
35,73,92,206,100,103,41,53,34,
36,73,92,205,100,103,42,52,34,
35,73,93,205,100,104,41,53,35,
35,73,93,205,101,103,41,53,34,
35,74,93,205,99,104,41,54,35,
34,73,93,207,100,104,41,52,34,
36,73,93,205,100,104,41,54,34,
35,73,92,205,101,104,41,54,33,
35,73,93,205,99,104,41,52,34,
35,73,93,206,100,103,41,53,34,
35,73,93,206,100,103,41,53,33,
35,73,94,206,100,104,41,53,33,
35,73,93,205,100,104,41,53,34,
36,74,93,206,100,103,41,52,34,
35,74,92,206,100,102,41,53,34,
34,73,92,206,100,104,40,52,34,
34,74,92,206,101,103,41,52,34,
34,73,93,205,101,103,41,54,34,
35,74,93,205,100,104,41,52,35,
35,73,93,206,100,104,40,53,33,
35,73,93,206,100,103,40,52,34,
35,72,93,206,100,102,40,52,33,
34,73,94,206,99,103,41,53,33,
34,74,93,205,100,103,40,53,33,
35,72,92,206,100,104,41,53,34,
34,73,92,205,99,104,41,54,34,
35,74,91,206,100,102,42,53,34,
35,73,93,205,101,103,41,53,35,
34,72,93,206,100,103,40,53,34,
36,72,92,205,100,103,40,53,35,
35,73,92,206,99,103,41,53,33,
35,73,92,206,100,104,41,53,35,
35,73,93,206,101,103,40,53,35,
36,74,92,206,101,102,41,53,35,
35,74,92,206,100,103,41,53,34,
35,74,92,206,100,103,41,53,35,
35,74,92,206,101,103,41,52,34,
35,74,93,205,101,103,42,52,35,
35,73,92,205,100,102,40,54,34,
34,73,92,206,100,104,41,53,36,
35,73,93,205,100,102,41,52,35,
35,74,92,206,101,103,41,53,34,
35,73,93,205,100,103,41,54,34,
35,73,92,205,99,104,41,54,35,
34,73,92,206,100,104,40,53,34,
34,74,91,206,99,102,41,53,34,
35,74,92,205,99,103,41,53,34,
36,73,93,206,100,102,41,53,34,
35,73,91,206,100,103,41,53,34,
36,74,92,205,100,103,40,53,34,
35,74,91,206,100,102,40,53,34,
35,73,93,205,100,104,41,53,34,
35,73,93,205,100,103,39,53,34,
36,73,93,206,100,103,41,52,34,
35,73,92,205,99,102,41,52,34,
34,73,91,205,99,103,41,52,34,
35,73,92,206,100,104,41,52,34,
35,73,92,206,100,102,40,53,34,
35,73,92,207,100,103,41,53,34,
34,72,92,205,100,103,41,53,34,
34,73,92,205,101,103,41,52,34,
33,73,91,205,100,103,41,53,34,
36,74,93,206,100,103,41,53,34,
34,74,93,205,99,103,39,52,34,
35,74,92,205,99,103,40,53,34,
36,72,93,205,101,103,41,53,34,
36,73,92,206,99,103,40,51,34,
35,73,92,206,99,103,41,52,35,
35,74,92,205,99,103,41,52,34,
34,73,92,206,100,103,41,53,34,
35,73,92,206,100,103,41,53,35,
35,72,91,206,100,102,41,53,34,
34,74,92,206,100,104,40,52,34,
34,74,92,205,100,103,41,53,33,
34,74,92,205,100,104,42,53,34,
35,73,92,205,100,103,41,53,34,
34,74,91,206,101,102,41,53,34,
36,73,92,206,100,103,41,53,35,
35,73,91,206,99,104,41,53,35,
35,73,92,206,100,103,41,53,35,
34,72,92,206,100,102,40,53,34,
35,74,92,206,100,104,41,50,34,
35,74,92,205,100,103,41,52,34,
35,73,92,206,100,103,41,52,34,
36,74,91,206,100,104,41,52,34,
34,73,90,205,100,102,41,53,33,
36,74,92,206,100,104,41,54,35,
34,73,93,205,100,103,41,52,34,
35,73,92,205,100,104,41,53,33,
34,73,92,206,100,103,42,52,33,
35,73,91,206,100,102,41,53,35,
35,72,92,205,101,103,40,53,34,
34,73,92,205,99,103,41,53,33,
35,73,92,205,99,104,40,53,34,
35,73,91,206,101,103,41,53,34,
35,73,91,205,99,102,42,52,34,
36,74,92,205,100,103,40,52,33,
34,74,92,205,100,103,41,52,34,
35,73,91,206,100,104,41,53,35,
34,74,92,205,100,103,40,53,34,
36,74,91,206,99,103,41,53,33,
34,73,92,205,100,104,42,52,33,
35,73,93,205,99,103,40,54,34,
35,73,91,206,99,103,41,53,34,
34,73,92,206,99,103,42,51,35,
34,74,92,205,100,103,41,53,34,
35,73,92,206,100,103,41,54,33,
35,74,92,206,100,103,42,53,33,
34,74,91,205,101,103,42,53,34,
36,73,92,206,99,102,41,53,33,
36,74,92,205,100,104,41,52,34,
35,74,91,206,100,103,42,53,33,
34,73,93,205,101,103,41,53,34,
35,73,92,205,100,103,41,52,34,
35,73,93,205,100,103,41,53,33,
36,73,92,205,100,103,41,53,33,
36,74,92,205,99,104,41,52,34,
35,74,92,205,100,104,40,53,33,
35,74,92,207,99,104,40,53,35,
34,74,91,205,99,104,41,52,35,
