A1,A2,A3,B1,B2,B3,C1,C2,C3,
28,65,77,169,97,102,34,46,33,
26,65,77,174,97,102,34,45,32,
26,64,78,179,98,103,35,45,31,
27,65,79,181,98,102,34,48,31,
27,65,79,179,97,102,35,48,31,
29,64,79,168,96,102,34,48,32,
33,62,76,155,97,102,34,46,33,
37,64,74,141,93,101,33,47,32,
44,63,74,131,91,102,34,45,32,
51,63,73,123,92,99,33,45,31,
67,63,72,120,92,100,31,44,30,
79,70,69,116,90,100,32,41,30,
89,76,68,114,90,101,32,43,31,
97,80,67,116,89,101,31,41,29,
95,84,68,113,89,101,31,41,29,
103,86,63,111,88,100,30,39,29,
106,89,62,111,89,101,29,40,28,
114,97,66,109,89,99,30,40,30,
120,97,63,109,88,100,29,39,30,
127,103,66,109,87,100,28,38,29,
134,106,68,107,84,100,28,36,30,
143,116,69,105,84,97,28,36,28,
149,124,70,105,82,97,28,35,29,
157,132,71,104,81,96,26,37,29,
161,135,70,107,77,93,27,35,28,
161,141,71,100,73,89,27,35,27,
163,150,77,96,69,80,26,32,24,
172,166,88,95,67,74,26,31,23,
185,187,100,91,62,67,26,27,17,
187,244,132,84,54,61,27,23,15,
185,278,168,84,51,56,25,20,11,
186,310,199,91,53,50,24,18,5,
172,316,219,104,59,60,22,15,5,
154,299,228,121,76,68,23,14,4,
146,296,232,135,89,79,21,14,4,
159,323,239,146,96,85,19,10,3,
168,347,253,153,99,84,18,9,3,
172,360,273,151,96,85,17,10,3,
170,358,282,145,101,90,17,8,2,
160,324,270,149,118,103,16,7,2,
134,263,221,164,150,127,15,8,2,
108,194,172,181,182,155,15,6,1,
86,140,128,205,229,190,15,6,1,
67,95,90,227,270,225,14,7,3,
49,61,61,243,315,273,13,7,2,
40,43,42,261,336,302,14,7,3,
34,34,26,281,370,336,12,5,1,
27,27,13,306,416,369,11,4,2,
23,20,5,326,454,378,11,5,3,
21,16,4,341,477,378,12,5,10,
20,12,3,334,465,332,13,8,25,
22,14,4,302,387,242,14,13,42,
26,18,4,263,264,166,17,26,61,
31,26,5,216,145,119,19,41,101,
31,28,5,172,86,72,19,58,158,
35,29,6,146,56,39,26,139,248,
36,28,4,115,35,17,38,271,335,
35,23,3,82,24,13,47,335,337,
35,23,4,66,21,17,49,337,312,
37,22,5,60,20,17,51,355,333,
34,21,5,56,18,17,54,373,378,
33,20,4,53,17,16,57,383,394,
29,17,3,52,16,16,58,388,396,
33,18,4,53,17,17,56,382,385,
33,20,4,56,18,16,59,391,392,
35,20,5,56,17,15,60,408,417,
30,17,3,56,15,14,59,412,434,
22,11,1,51,13,9,63,413,454,
16,6,0,53,13,6,63,420,465,
8,2,0,39,10,5,66,416,465,
4,2,0,40,9,3,65,399,454,
3,0,0,39,8,2,60,358,418,
2,0,0,39,10,3,54,303,383,
0,0,0,42,13,4,49,222,344,
0,0,0,52,18,7,40,125,268,
0,1,0,92,78,61,33,37,86,
0,0,0,230,269,167,24,11,11,
0,0,0,340,454,284,19,6,2,
0,0,0,346,399,276,20,9,3,
0,0,0,332,369,266,20,8,3,
0,2,1,325,350,254,19,9,1,
1,4,2,305,350,242,21,9,1,
3,8,6,298,343,239,19,8,2,
8,14,18,295,347,230,20,9,1,
18,29,28,272,335,213,19,8,0,
28,49,51,260,315,189,18,8,2,
43,74,79,248,308,182,18,7,1,
54,93,97,243,302,179,18,6,1,
62,109,112,231,285,164,18,7,2,
71,144,143,197,211,130,20,9,1,
101,226,191,162,127,91,20,10,1,
121,271,226,151,85,61,20,7,1,
136,307,260,144,65,47,21,7,2,
148,347,285,133,55,37,20,7,0,
153,369,304,135,50,36,21,6,1,
158,385,316,134,51,36,22,8,2,
165,393,318,142,54,43,22,7,1,
159,386,313,148,62,45,22,7,0,
145,365,291,155,72,55,21,8,2,
121,299,240,168,94,74,21,8,3,
100,220,190,182,125,95,22,9,1,
93,189,168,196,148,110,23,10,1,
85,160,145,202,164,120,24,10,2,
66,117,107,214,194,139,22,10,2,
43,72,68,228,230,157,20,10,1,
28,47,49,259,275,186,21,9,1,
20,42,42,281,292,201,21,8,1,
18,38,39,299,312,213,19,10,3,
18,38,41,311,322,220,20,9,3,
18,38,39,320,334,224,21,10,3,
19,40,39,326,337,224,22,9,2,
19,39,42,329,334,228,21,10,3,
18,38,41,335,341,238,21,10,4,
18,38,43,334,340,241,21,11,3,
17,39,40,329,338,248,21,11,3,
18,36,37,331,339,258,21,11,4,
18,36,36,339,347,262,22,8,4,
17,33,31,343,359,273,21,11,3,
20,32,31,341,372,281,20,11,3,
22,30,24,347,386,291,20,10,3,
21,30,21,354,398,303,21,11,4,
23,32,20,364,406,305,21,9,3,
24,31,17,373,407,303,20,10,4,
23,33,16,378,426,296,19,9,4,
22,27,16,391,442,281,19,10,4,
20,27,13,399,454,256,18,9,3,
19,28,13,403,453,222,18,10,5,
19,28,13,403,446,166,17,11,4,
20,29,12,407,427,106,16,11,5,
