A1,A2,A3,B1,B2,B3,C1,C2,C3,
10,37,42,17,36,29,8,10,14,
17,44,42,22,40,29,9,12,14,
16,42,40,22,40,27,10,13,13,
17,44,40,23,40,29,9,11,13,
18,43,41,22,41,28,10,12,13,
17,43,43,24,41,29,8,12,13,
18,44,43,23,39,29,10,11,14,
19,44,42,23,40,28,10,12,13,
17,42,41,23,41,29,9,11,14,
16,43,41,22,40,28,10,13,14,
17,43,42,23,40,29,9,12,13,
18,43,41,22,40,29,10,12,14,
18,42,42,22,41,29,8,12,13,
17,42,42,23,41,29,9,13,15,
21,43,42,22,39,29,9,11,14,
17,42,43,22,40,28,10,11,14,
17,42,42,24,41,29,9,13,14,
17,43,42,22,40,29,10,13,15,
18,43,41,22,40,29,10,12,14,
18,43,42,23,40,29,9,13,14,
18,43,43,22,41,29,9,11,14,
18,43,41,23,41,29,9,13,14,
18,43,41,23,41,28,10,13,13,
18,44,41,23,41,29,9,13,14,
17,43,41,23,40,30,11,11,13,
17,44,42,24,40,29,11,12,14,
17,43,41,23,40,28,9,11,14,
18,43,42,24,42,29,10,12,14,
18,44,42,23,41,28,9,13,13,
17,45,42,23,41,29,9,11,14,
18,44,42,24,41,28,10,12,14,
18,44,42,24,41,29,10,12,14,
18,44,43,23,41,29,9,12,14,
17,43,43,23,42,30,10,13,13,
18,43,41,23,42,28,10,13,13,
18,44,42,23,42,29,9,12,14,
16,44,42,23,41,29,10,12,13,
17,44,41,23,41,30,9,12,14,
17,43,41,23,42,29,11,14,14,
17,45,42,23,41,27,10,13,15,
17,44,41,24,42,28,11,13,15,
17,42,41,24,41,28,10,13,13,
19,43,42,24,41,30,10,12,14,
18,44,42,22,40,28,11,12,15,
18,43,42,23,41,29,10,13,14,
17,44,41,22,41,29,10,11,15,
18,44,41,22,41,29,11,11,14,
19,44,41,24,40,27,9,13,14,
19,44,41,23,41,28,10,12,14,
18,44,41,23,40,27,11,13,14,
18,44,42,23,41,27,10,12,14,
17,43,41,23,41,28,10,12,14,
18,43,41,23,41,29,10,12,15,
19,44,42,24,39,28,11,13,14,
18,44,41,23,40,28,11,13,14,
18,46,42,22,40,28,11,14,14,
18,44,42,24,41,28,9,13,14,
18,45,41,23,39,28,10,13,15,
17,44,41,22,39,29,11,12,14,
18,43,41,23,40,28,10,13,15,
17,43,41,22,42,28,10,12,14,
17,42,41,24,41,28,10,13,14,
18,43,40,23,40,28,11,13,14,
17,44,41,22,41,29,10,12,15,
18,44,41,24,40,27,10,12,14,
19,43,42,22,40,27,10,13,15,
19,43,41,23,40,28,9,13,14,
18,43,42,22,41,28,11,13,14,
17,44,41,23,40,27,9,12,14,
18,43,42,24,41,28,10,13,14,
17,42,41,23,39,27,10,13,14,
18,43,42,24,39,27,11,13,14,
18,43,43,23,40,27,10,13,13,
17,43,42,23,40,26,10,12,14,
17,43,42,23,39,27,9,13,15,
17,42,41,23,39,29,10,13,14,
17,44,43,22,39,28,11,12,14,
18,43,41,22,39,28,9,12,14,
17,44,42,23,40,29,11,11,15,
18,44,43,22,40,29,11,12,15,
18,44,43,23,40,29,11,13,15,
17,42,42,23,40,28,11,12,15,
18,42,43,23,41,29,10,13,14,
18,42,43,22,40,29,11,13,14,
19,43,42,22,40,29,10,12,15,
17,43,42,23,40,27,10,13,15,
18,42,43,22,40,27,10,13,15,
18,43,43,23,41,29,10,12,16,
18,43,42,23,39,28,10,12,15,
18,43,43,22,40,27,11,14,15,
16,42,43,23,39,27,10,14,15,
14,43,44,22,38,29,10,13,15,
15,43,43,21,39,28,11,13,16,
18,42,43,22,39,27,11,12,14,
14,43,43,22,39,27,10,13,14,
17,43,43,22,38,28,11,12,14,
17,42,42,22,39,28,11,12,15,
18,44,43,22,40,27,10,11,15,
17,43,42,22,40,27,11,13,14,
19,43,43,23,38,28,11,13,15,
17,42,43,23,39,27,10,13,15,
17,44,43,22,39,27,11,14,15,
18,42,44,22,39,28,11,13,15,
17,43,43,23,40,28,10,12,15,
17,43,41,22,41,28,10,12,14,
18,43,43,22,40,28,10,12,14,
17,42,43,22,39,28,10,13,15,
18,43,42,24,39,27,10,13,15,
19,43,42,22,40,27,11,12,14,
18,43,42,23,40,27,10,13,14,
16,37,40,18,35,25,10,12,15,
13,33,37,11,28,22,9,12,13,
12,30,35,10,23,21,10,10,11,
16,26,34,10,18,16,7,8,11,
18,24,33,11,15,18,7,9,12,
19,24,32,11,17,17,7,9,12,
20,24,32,13,19,18,7,8,14,
17,22,33,12,21,19,9,9,13,
16,25,33,15,22,22,10,10,13,
18,25,33,15,21,20,8,10,13,
15,22,32,14,21,16,10,8,12,
16,21,31,13,15,14,7,8,11,
17,21,29,8,11,14,5,5,8,
18,25,28,7,10,9,4,5,7,
21,25,26,9,8,9,3,3,6,
27,24,26,9,10,6,4,3,5,
31,23,25,11,10,8,4,3,5,
35,22,23,14,10,10,4,3,5,
38,22,25,16,9,7,4,3,5,
41,21,22,17,9,6,5,3,4,
48,19,21,17,7,8,5,3,2,
50,19,20,20,8,6,6,1,3,
63,17,20,18,7,9,3,2,3,
69,18,16,20,7,7,5,0,4,
81,18,17,20,8,8,7,1,3,
92,18,18,21,7,7,7,2,3,
100,17,14,23,8,6,6,1,2,
112,16,13,23,7,5,7,1,2,
121,16,14,25,6,6,7,1,2,
136,15,14,27,5,7,6,2,2,
153,14,11,29,6,5,10,0,3,
162,15,11,31,5,6,8,1,3,
181,15,11,28,5,5,8,2,2,
203,12,10,33,4,5,10,1,2,
228,13,9,41,5,3,12,1,3,
248,14,8,48,4,5,13,1,2,
264,14,6,50,6,4,14,2,3,
289,15,6,57,5,5,16,1,2,
308,14,6,61,6,3,15,2,2,
325,15,6,69,7,5,16,2,2,
345,17,7,75,8,4,17,1,2,
363,19,7,79,8,3,16,1,1,
376,19,7,88,9,5,17,1,1,
394,19,6,94,8,5,16,2,0,
406,20,6,99,9,5,18,2,1,
419,20,6,101,9,5,18,1,1,
430,20,6,103,8,6,18,0,2,
441,19,6,107,10,4,20,1,2,
447,21,6,110,9,5,19,2,2,
452,21,6,112,10,6,18,2,3,
463,23,5,112,9,5,19,1,1,
475,20,6,116,8,5,18,1,2,
491,21,6,119,9,4,19,2,2,
500,21,5,124,9,4,20,1,4,
505,22,7,125,10,5,20,1,4,
510,22,6,127,9,5,20,1,3,
518,20,5,129,9,4,20,2,2,
522,19,4,131,8,5,19,1,3,
524,21,6,133,10,5,21,1,2,
522,21,4,133,10,5,21,2,3,
518,21,6,134,10,6,21,2,2,
525,22,5,131,10,5,22,2,3,
539,22,6,133,10,6,21,2,2,
544,21,6,134,10,5,23,3,3,
547,21,6,135,10,5,23,2,4,
557,23,5,134,11,4,22,1,2,
565,23,5,135,10,5,22,1,2,
577,23,5,135,9,5,24,0,3,
591,24,6,143,10,5,23,2,2,
600,23,7,145,10,5,25,0,3,
603,23,5,149,10,6,24,1,2,
608,23,5,150,9,5,24,2,3,
611,23,6,152,9,6,26,2,2,
614,23,6,155,10,7,25,2,4,
614,24,6,153,11,7,24,2,2,
608,23,6,155,11,7,25,2,3,
602,23,8,153,11,7,25,1,4,
602,23,7,155,12,7,25,1,3,
605,23,7,156,11,7,25,2,4,
607,23,7,156,11,6,25,3,3,
610,23,8,158,11,6,26,2,3,
617,24,7,160,11,6,27,2,4,
625,26,7,160,10,7,27,3,3,
630,25,7,157,10,7,27,2,4,
632,24,8,162,12,6,26,2,4,
635,24,7,162,11,6,26,2,5,
636,25,7,162,12,6,26,2,4,
640,26,7,163,12,7,27,1,4,
641,25,7,163,10,6,27,3,4,
644,24,7,163,11,6,28,3,3,
645,25,7,162,12,7,27,2,4,
639,24,6,163,10,7,27,1,5,
621,24,6,161,11,7,25,2,4,
612,22,6,155,11,8,25,2,4,
618,22,6,159,12,6,25,1,3,
626,22,7,163,11,7,25,3,3,
629,21,6,165,10,6,26,1,4,
623,22,7,163,12,7,26,2,5,
620,22,6,163,11,7,26,2,3,
622,21,7,162,10,8,25,0,4,
625,23,6,164,11,7,25,1,5,
631,22,6,167,10,8,26,2,4,
637,23,6,166,12,6,27,3,4,
640,23,7,168,12,8,27,2,3,
644,23,6,170,10,7,26,2,4,
640,24,8,169,11,7,27,2,3,
635,24,6,166,12,7,27,3,5,
635,23,6,167,13,8,27,2,4,
641,25,8,168,13,8,26,1,4,
645,25,8,170,12,8,27,3,3,
646,26,8,168,11,7,28,3,5,
651,25,8,170,12,7,27,2,4,
655,26,7,170,10,7,27,2,3,
