A1,A2,A3,B1,B2,B3,C1,C2,C3,
41,29,3,37,25,7,21,9,20,
45,29,3,41,25,6,24,10,20,
44,29,2,40,24,6,24,10,19,
44,28,2,41,24,6,23,10,19,
46,30,3,41,25,6,25,11,18,
44,29,2,41,25,6,24,10,20,
45,28,2,42,25,6,24,11,18,
44,29,4,40,25,6,24,10,20,
43,29,3,41,25,6,25,10,19,
42,28,2,42,25,6,25,10,18,
43,29,3,42,24,6,24,10,19,
43,30,2,42,24,5,25,11,18,
43,29,3,42,26,6,25,11,18,
44,30,2,43,25,6,23,11,18,
43,29,3,42,25,5,24,11,19,
42,29,3,42,26,7,26,11,19,
44,29,3,42,25,6,25,10,19,
42,28,4,44,25,5,25,11,19,
44,29,3,42,24,6,25,10,19,
44,28,2,41,25,6,24,11,19,
44,28,3,42,25,6,24,11,18,
43,29,2,42,25,7,25,10,18,
42,30,3,40,25,6,24,11,20,
42,29,4,40,25,6,23,10,19,
41,29,2,41,25,6,24,10,19,
42,29,2,41,26,7,25,11,19,
43,29,3,43,24,6,24,11,19,
43,28,3,42,26,6,24,11,18,
43,30,3,42,26,7,25,10,19,
42,30,3,42,25,6,25,11,20,
41,29,3,42,24,6,24,11,20,
42,29,2,42,24,6,25,11,20,
43,30,3,43,24,7,25,11,20,
43,30,3,41,24,5,26,10,20,
44,30,3,43,24,7,24,11,20,
42,30,3,42,23,7,25,10,20,
44,29,3,43,24,6,25,11,20,
43,28,3,41,26,7,25,11,20,
43,28,2,42,24,7,25,10,19,
43,28,3,42,25,6,25,10,20,
42,29,2,42,24,7,26,11,19,
43,28,2,41,24,7,25,11,20,
42,29,3,42,23,6,26,10,18,
43,28,4,41,24,6,24,10,18,
42,30,3,43,23,6,26,10,20,
43,28,2,41,25,5,25,10,19,
43,29,2,40,25,6,25,10,18,
42,29,2,41,26,7,25,10,19,
41,29,3,42,25,6,24,9,19,
45,29,2,44,26,6,25,10,19,
42,28,3,44,24,6,24,11,18,
42,29,2,43,26,6,25,10,20,
43,29,3,43,25,7,23,11,19,
43,28,3,42,25,6,24,10,20,
43,30,3,43,25,6,24,11,18,
43,29,3,44,26,6,26,10,20,
44,29,2,44,25,6,25,11,19,
44,29,3,44,25,7,25,10,18,
43,28,3,42,25,6,25,10,20,
44,28,3,44,25,6,25,11,20,
44,30,2,44,25,6,25,11,18,
44,29,3,43,26,6,23,10,19,
43,28,3,42,25,6,25,10,19,
43,29,2,43,25,6,25,10,19,
43,29,3,44,24,6,25,11,19,
44,30,3,43,24,6,25,11,20,
45,29,3,42,25,6,25,10,19,
44,29,3,42,24,6,25,11,19,
43,29,4,42,25,7,25,11,19,
43,28,2,43,25,6,25,11,20,
44,29,3,43,23,6,25,10,18,
45,29,4,43,24,6,26,11,19,
45,30,3,44,25,7,26,10,19,
44,29,2,42,26,6,25,9,20,
42,29,3,42,25,7,24,10,19,
43,27,3,43,25,6,23,11,18,
43,29,2,43,25,6,24,11,19,
43,28,3,42,25,7,26,11,18,
44,29,2,42,26,7,24,9,19,
45,28,3,43,25,6,24,10,20,
43,29,4,44,25,6,25,11,19,
45,29,3,43,25,8,25,10,20,
45,30,3,43,25,6,25,11,18,
45,29,3,43,26,6,25,11,20,
42,29,3,44,24,6,26,10,19,
43,28,3,42,24,6,25,11,19,
44,30,3,43,25,7,26,11,19,
45,29,2,43,25,7,26,11,18,
43,30,2,42,24,6,26,11,19,
43,29,3,43,26,6,26,10,18,
43,28,2,42,25,7,26,11,20,
42,28,4,42,24,6,25,11,20,
43,28,3,43,25,6,24,11,18,
43,29,3,44,25,6,26,11,19,
42,28,3,42,24,6,26,11,19,
43,28,3,43,25,5,25,10,20,
42,28,4,43,25,7,26,11,20,
44,28,3,42,25,6,26,11,20,
28,19,1,38,23,6,22,10,15,
17,14,2,35,22,6,21,10,16,
24,18,1,36,22,7,22,10,16,
25,19,2,39,21,5,24,9,18,
33,25,2,38,24,7,24,10,18,
36,24,3,41,23,6,23,9,18,
39,27,3,38,24,6,23,10,17,
31,22,1,36,23,5,22,11,16,
20,20,3,35,23,7,20,10,18,
20,13,3,37,20,7,20,8,16,
31,16,3,40,17,7,21,7,16,
33,18,4,40,19,7,21,8,16,
36,20,3,41,18,7,21,8,16,
33,18,4,41,18,7,20,7,16,
33,15,2,40,17,7,21,7,15,
26,11,4,39,16,8,20,6,15,
27,10,2,34,14,5,18,6,12,
31,14,2,33,14,4,18,6,13,
31,12,2,35,14,4,16,8,13,
32,14,1,30,15,5,16,6,10,
36,14,2,35,16,6,18,6,12,
41,16,3,37,15,5,16,5,10,
44,22,3,31,19,5,14,8,12,
64,26,4,34,19,5,14,9,11,
66,34,5,38,26,6,13,10,13,
80,42,4,42,27,5,15,10,13,
89,43,4,46,30,6,15,10,12,
87,37,4,47,28,5,15,10,13,
76,37,7,39,29,9,16,12,13,
95,45,11,44,29,13,14,12,19,
121,48,14,49,34,18,17,11,21,
138,48,11,57,36,15,17,12,21,
154,52,16,57,34,19,19,13,22,
164,54,18,59,35,21,20,13,22,
179,53,19,65,33,20,21,12,26,
185,56,19,67,33,22,24,12,24,
201,58,26,67,36,25,24,12,28,
218,60,25,68,35,26,24,13,28,
239,62,28,76,37,30,23,13,31,
254,64,26,84,38,29,25,12,31,
260,63,26,88,37,26,26,12,30,
273,63,26,86,35,27,26,12,32,
272,67,27,88,36,27,27,12,32,
273,72,27,91,38,26,26,14,32,
275,74,24,89,39,26,27,12,33,
289,67,25,93,39,29,28,13,35,
301,67,26,92,38,28,27,13,33,
312,70,28,92,36,29,28,13,32,
319,76,28,91,38,27,30,13,35,
317,78,26,93,39,28,30,13,34,
334,75,30,96,39,29,30,13,34,
361,70,29,100,37,27,31,12,33,
386,76,31,103,35,28,31,13,36,
410,80,29,110,40,28,33,13,39,
424,80,26,112,41,28,33,13,36,
431,82,34,113,39,34,36,14,45,
442,84,36,112,36,33,36,13,46,
449,87,37,116,37,32,38,14,48,
463,86,37,117,38,33,40,16,47,
482,83,36,119,36,32,41,15,46,
498,82,37,122,35,33,40,13,47,
509,80,38,125,34,34,41,14,47,
519,79,38,126,33,33,42,11,47,
538,73,39,127,31,34,41,12,46,
549,69,44,130,32,39,42,12,49,
565,71,47,135,31,44,44,12,50,
576,76,48,139,34,43,45,11,52,
586,81,47,144,34,44,44,13,54,
592,79,47,148,36,42,44,13,55,
597,80,48,150,34,41,46,13,55,
604,78,46,152,35,39,46,13,54,
612,74,44,151,33,40,47,12,57,
623,80,44,154,34,40,48,12,58,
630,82,45,153,35,42,49,14,59,
631,81,44,155,36,43,49,13,58,
634,85,45,157,35,43,51,14,59,
638,82,43,160,36,42,49,12,57,
643,81,42,160,36,43,50,13,59,
650,81,43,163,36,40,51,11,60,
655,84,45,166,36,41,52,14,57,
661,87,44,167,38,44,52,14,58,
666,89,45,167,38,44,52,14,59,
661,88,44,166,38,44,51,14,60,
651,89,44,166,40,42,53,14,60,
645,88,44,165,39,44,51,15,61,
643,91,44,165,39,42,51,14,60,
641,91,42,162,39,41,50,15,61,
638,89,43,160,39,42,51,14,58,
634,89,43,160,38,42,51,14,60,
640,92,44,159,39,43,53,14,61,
646,96,44,164,40,41,53,15,62,
652,97,42,166,39,39,53,15,60,
656,99,43,166,39,39,55,15,61,
651,99,42,162,41,39,53,15,61,
655,103,42,164,42,39,54,16,61,
662,94,41,165,40,38,54,15,61,
668,98,39,167,42,39,55,16,60,
675,98,39,167,41,38,55,16,59,
676,97,37,171,41,36,54,15,59,
677,95,36,171,40,35,54,15,59,
680,96,37,171,40,35,56,16,60,
682,97,36,171,41,37,56,16,59,
680,99,35,171,41,33,54,16,59,
683,96,32,173,41,32,54,15,60,
686,91,32,172,39,33,55,14,57,
689,89,36,172,38,36,54,15,59,
692,94,36,173,41,36,55,14,59,
694,91,33,175,40,37,56,14,59,
696,92,33,176,40,36,56,13,58,
694,92,33,175,39,36,56,15,59,
696,92,34,178,39,36,56,15,57,
702,92,36,180,38,36,57,14,58,
705,91,35,180,37,37,58,14,57,
712,91,34,185,38,36,58,14,58,
716,94,37,188,38,37,59,13,59,
718,95,37,188,40,40,59,14,58,
718,93,36,191,40,39,58,14,57,
719,93,36,191,38,38,57,15,58,
719,95,36,190,39,39,57,15,57,
721,100,34,191,40,36,58,14,57,
728,103,33,194,42,36,57,14,56,
736,101,33,195,43,34,57,15,57,
738,106,32,196,44,34,58,15,57,
740,105,34,196,43,34,59,14,58,
742,108,33,199,44,36,59,16,59,
743,109,34,202,44,36,60,15,60,
750,106,34,204,44,35,61,15,56,
751,106,34,204,43,35,61,14,61,
751,108,34,203,44,35,60,14,61,
755,113,32,205,44,33,61,16,59,
755,117,33,204,45,33,60,16,57,
754,113,33,202,45,33,59,15,58,
755,111,31,203,45,31,59,15,59,
755,109,32,203,44,32,58,15,60,
756,111,32,204,44,32,59,15,61,
757,115,33,209,45,33,59,16,60,
761,119,33,211,46,33,61,15,60,
763,112,31,213,45,32,60,15,60,
760,112,31,215,47,31,61,15,60,
760,118,30,215,48,31,61,16,61,
763,123,30,217,50,29,61,17,61,
765,125,31,219,50,31,60,16,61,
764,118,30,217,48,32,62,16,63,
760,113,30,216,47,31,59,14,61,
758,114,30,215,49,32,60,14,61,
760,116,28,217,49,31,60,16,61,
757,109,28,216,47,29,60,15,60,
