A1,A2,A3,B1,B2,B3,C1,C2,C3,
53,20,36,28,16,46,17,11,39,
61,27,35,40,23,47,27,16,39,
61,26,36,41,24,47,28,17,39,
59,26,37,39,24,47,27,17,40,
61,25,36,39,23,47,27,17,39,
62,26,36,40,23,47,27,17,39,
61,26,37,39,24,47,27,17,39,
61,26,35,39,24,47,27,16,39,
61,27,36,41,25,47,28,16,38,
59,26,36,40,25,47,26,17,39,
60,26,36,40,25,47,27,17,38,
61,26,35,41,25,47,27,17,39,
61,26,36,40,25,48,27,18,38,
62,26,37,40,25,48,26,17,39,
59,26,36,40,25,48,26,17,38,
60,25,36,40,25,47,27,17,40,
60,25,35,40,25,48,27,17,39,
59,25,35,41,25,47,27,16,39,
61,25,36,41,24,46,27,17,39,
62,26,36,40,24,47,27,17,39,
60,25,36,40,25,47,28,17,39,
60,26,36,40,24,47,27,16,40,
60,26,35,39,25,47,27,17,39,
59,26,37,41,24,47,28,17,39,
61,24,36,40,24,47,26,16,40,
61,25,35,40,24,47,26,18,40,
59,25,35,40,23,47,26,17,40,
61,26,34,41,24,47,27,18,40,
60,26,36,41,24,46,27,16,39,
60,26,36,41,24,48,28,17,40,
60,26,35,40,23,46,28,18,40,
61,26,36,40,24,47,28,18,40,
60,26,35,40,25,47,28,17,40,
62,26,35,41,24,46,26,17,39,
61,25,35,39,24,47,27,17,40,
61,25,36,38,25,44,28,18,39,
62,27,36,39,25,47,28,16,40,
61,26,36,40,24,47,27,16,40,
62,25,34,40,25,46,28,18,39,
61,26,35,39,25,46,28,18,39,
60,26,36,39,25,45,28,18,40,
61,26,35,38,24,47,28,18,40,
61,26,36,39,24,46,27,18,40,
61,25,35,38,24,45,28,18,39,
61,25,35,39,24,45,28,18,39,
61,26,36,40,25,45,28,17,39,
61,26,35,40,25,46,27,18,40,
62,26,36,40,24,46,28,17,38,
62,27,36,41,24,46,26,17,41,
62,26,36,41,24,46,28,17,39,
61,25,35,40,24,47,27,17,39,
