A1,A2,A3,B1,B2,B3,C1,C2,C3,
38,39,48,41,45,75,24,24,36,
55,49,49,64,60,75,37,31,37,
56,50,49,65,60,74,37,32,36,
55,49,47,64,59,76,37,32,37,
55,49,49,64,59,75,37,32,37,
55,49,47,64,60,75,36,31,38,
55,48,48,65,60,74,37,30,37,
55,49,48,64,60,74,37,32,38,
55,49,47,64,60,75,36,31,37,
55,48,48,64,60,74,37,32,38,
55,49,48,64,60,75,36,31,38,
55,48,49,64,59,75,37,32,37,
55,48,48,64,59,75,36,32,38,
56,49,48,64,59,75,37,31,38,
55,49,48,63,61,75,38,31,38,
56,49,48,64,60,74,37,31,38,
55,49,49,64,60,75,37,31,39,
55,49,47,64,59,74,38,32,38,
55,48,49,64,60,75,37,31,37,
55,49,48,65,61,74,36,30,37,
55,50,48,64,60,74,38,31,37,
55,50,47,64,61,75,37,32,38,
55,49,49,63,60,75,37,32,38,
56,48,49,64,59,74,36,31,38,
55,49,48,64,60,74,37,32,37,
56,50,49,64,60,75,36,32,38,
55,49,47,64,60,74,36,31,37,
56,50,48,63,59,75,37,31,37,
55,50,48,64,59,75,37,31,37,
55,49,48,64,60,76,36,32,37,
57,50,48,64,60,74,36,32,38,
56,49,48,64,60,74,36,31,38,
56,49,49,64,60,74,36,31,37,
55,50,49,64,59,75,36,30,38,
55,49,48,63,60,75,36,32,37,
56,50,50,64,59,74,36,32,37,
55,50,48,64,60,75,37,31,37,
56,50,50,64,59,74,36,32,38,
55,49,48,63,58,74,36,31,38,
56,49,47,64,59,74,36,32,37,
56,49,49,64,60,74,37,30,37,
55,50,48,65,59,75,36,31,38,
56,49,49,64,59,75,36,31,38,
55,49,49,65,59,75,36,32,37,
56,50,49,64,59,75,35,32,37,
55,50,48,63,60,75,35,31,37,
55,49,49,65,58,75,37,30,37,
55,48,49,64,60,75,37,31,39,
55,49,49,63,59,76,36,30,36,
55,50,48,64,58,75,35,31,37,
55,49,48,64,60,75,37,30,37,
55,49,48,64,59,75,36,31,37,
55,50,48,63,60,74,36,31,37,
55,50,49,63,58,75,37,32,37,
55,50,48,63,59,75,36,30,38,
55,49,48,63,60,75,37,31,38,
54,49,49,64,60,75,36,31,37,
56,50,49,64,59,74,37,32,37,
55,49,48,64,60,75,37,31,37,
55,48,48,64,60,75,35,31,37,
54,49,49,64,61,75,36,31,37,
56,49,48,64,60,74,36,32,36,
54,51,49,63,60,74,36,30,37,
55,50,49,64,61,75,36,31,37,
55,50,49,64,61,75,35,31,37,
55,50,48,63,59,74,36,31,37,
55,51,48,64,61,75,37,32,37,
56,50,48,64,60,74,36,31,37,
57,50,49,63,60,75,36,32,37,
55,50,49,64,60,75,36,31,37,
55,49,48,64,60,76,36,32,37,
56,51,49,64,61,75,36,30,37,
56,49,48,63,61,75,36,30,37,
55,49,48,64,60,73,36,32,37,
