A1,A2,A3,B1,B2,B3,C1,C2,C3,
18,27,27,42,56,59,49,68,37,
19,29,27,44,59,61,52,70,38,
19,30,26,46,59,60,52,71,38,
19,29,28,44,60,61,52,72,39,
18,29,26,46,60,61,52,70,38,
19,30,27,46,60,60,52,71,37,
21,29,27,46,60,61,52,71,38,
19,29,27,47,61,62,53,71,37,
19,30,28,46,59,60,53,69,38,
21,30,27,48,60,59,51,71,38,
19,30,26,46,59,60,54,70,38,
21,30,27,46,59,60,53,71,37,
21,31,26,46,62,60,53,71,38,
18,30,26,46,61,61,53,71,37,
20,29,27,46,60,61,53,70,39,
19,30,27,46,60,60,53,71,37,
20,30,26,46,61,60,53,71,37,
21,31,27,46,61,61,54,71,38,
20,30,27,47,60,60,53,72,37,
20,30,26,47,61,60,53,70,37,
19,30,26,46,60,61,53,70,39,
20,29,27,47,62,61,54,70,38,
20,29,28,46,60,62,53,70,38,
18,30,27,46,61,61,53,70,39,
18,30,27,46,61,61,53,71,38,
20,30,26,46,61,61,54,71,38,
20,31,27,47,61,61,53,70,38,
20,31,27,46,62,62,53,71,39,
20,31,27,47,59,62,54,72,39,
19,30,27,47,60,62,53,71,39,
21,31,27,46,61,63,54,71,38,
20,30,26,46,60,61,54,72,38,
21,31,27,46,59,61,52,70,40,
20,30,26,47,61,60,55,71,39,
19,30,27,47,62,62,53,70,38,
19,31,27,46,60,62,55,70,39,
19,31,26,46,61,61,54,72,40,
21,30,26,47,60,61,55,70,39,
21,31,28,47,62,61,54,72,40,
21,31,26,46,62,62,54,71,39,
21,31,27,47,61,62,53,72,40,
20,31,28,48,62,61,53,71,39,
19,31,28,47,60,61,54,70,40,
21,30,27,48,60,62,54,71,38,
21,31,27,48,61,62,55,71,39,
21,30,26,47,61,61,54,71,38,
21,30,28,47,62,61,55,71,40,
20,31,27,46,61,62,53,71,39,
20,31,27,45,62,62,53,72,40,
20,31,27,46,61,62,53,71,38,
20,30,27,45,62,62,53,71,39,
19,30,27,46,62,62,53,72,39,
19,30,27,46,61,61,53,71,38,
19,30,27,46,62,62,53,70,39,
21,31,28,46,60,62,54,71,39,
21,31,26,47,61,62,54,72,40,
21,30,27,47,61,61,53,71,39,
20,31,27,46,62,62,54,70,39,
22,31,26,47,60,61,55,71,39,
21,31,26,46,61,62,55,71,39,
21,31,26,47,61,61,53,71,40,
21,31,26,47,62,61,54,70,39,
21,31,27,47,60,61,54,70,38,
21,31,27,45,62,61,54,72,40,
19,30,28,46,61,61,54,71,39,
20,30,28,46,62,61,55,72,40,
21,30,27,47,61,62,54,70,39,
19,31,27,47,62,61,54,72,40,
21,31,26,46,60,61,54,71,40,
21,30,27,45,61,61,55,70,40,
21,31,26,47,61,61,55,71,40,
19,32,27,45,61,60,54,70,39,
19,30,28,46,61,61,54,71,40,
19,31,27,46,60,61,53,71,40,
20,30,28,45,59,61,53,71,38,
21,31,28,45,61,62,53,72,39,
20,31,27,46,60,62,54,71,39,
21,31,28,45,61,60,53,70,39,
20,30,27,45,62,62,53,71,39,
21,31,27,45,60,62,54,71,40,
21,30,28,46,61,62,54,71,39,
20,30,27,46,61,62,54,71,39,
20,31,27,45,60,62,54,72,40,
19,31,27,46,59,62,53,71,41,
18,30,26,45,59,61,54,71,40,
20,31,27,46,60,62,52,71,40,
19,30,27,46,59,62,54,71,41,
19,29,27,46,60,62,54,71,39,
19,31,26,46,61,62,53,71,39,
20,31,28,44,62,61,54,72,40,
21,30,27,44,62,61,53,72,41,
19,30,27,45,61,62,53,72,41,
19,30,28,44,60,63,53,72,40,
19,30,27,44,60,62,53,72,40,
19,30,28,46,61,63,54,70,41,
18,30,27,45,61,63,53,70,41,
20,30,28,46,61,62,54,71,41,
20,31,26,45,60,62,53,71,40,
20,31,27,46,59,62,55,70,41,
19,30,28,45,61,63,54,71,40,
19,30,28,44,61,63,54,70,41,
20,31,28,46,59,63,54,71,41,
19,30,27,46,61,62,54,70,41,
20,31,28,44,61,62,53,70,39,
20,30,27,45,61,61,54,71,40,
19,30,28,45,60,63,53,72,39,
20,30,26,46,61,62,52,70,39,
21,29,28,45,60,63,54,71,40,
20,29,28,46,60,63,53,71,40,
20,30,28,46,59,61,53,70,40,
20,29,27,46,59,62,54,71,40,
20,31,27,46,61,62,54,70,40,
20,31,28,46,60,62,53,71,41,
20,31,28,46,61,63,54,71,40,
21,31,27,45,62,61,52,71,39,
20,29,28,45,60,63,53,71,39,
20,30,26,44,61,61,54,71,39,
19,29,27,46,61,62,53,71,39,
21,30,27,44,62,61,53,71,40,
20,31,25,46,62,62,52,70,40,
20,30,27,46,61,62,54,71,40,
20,29,26,45,62,61,53,71,41,
20,30,28,46,61,62,53,72,40,
20,29,27,45,61,61,54,71,41,
19,30,28,45,62,62,53,72,41,
21,30,28,46,63,61,53,70,41,
21,30,27,45,62,63,53,71,40,
20,31,28,45,63,62,53,71,40,
20,31,26,47,63,62,54,72,41,
20,30,28,46,63,63,53,71,40,
21,30,27,45,63,62,54,72,39,
20,32,27,45,62,63,55,71,39,
20,32,27,45,62,62,54,72,40,
21,31,28,45,62,62,54,71,40,
19,31,28,46,63,63,55,72,40,
19,30,28,45,63,62,55,72,40,
19,31,28,45,62,63,54,72,41,
20,30,28,45,61,62,54,72,40,
21,30,26,46,63,62,54,71,40,
21,32,28,45,62,61,54,71,41,
21,32,28,46,62,62,54,71,41,
21,32,28,45,63,62,53,71,41,
21,32,27,46,63,63,53,70,41,
19,31,26,45,62,63,54,71,39,
19,32,27,45,63,62,54,70,41,
