A1,A2,A3,B1,B2,B3,C1,C2,C3,
38,145,377,17,121,315,104,66,190,
101,204,377,71,171,316,130,94,190,
102,204,377,70,170,316,128,94,191,
100,204,377,70,170,316,130,95,190,
102,204,376,71,170,315,129,96,190,
101,203,377,72,171,316,128,94,190,
102,204,377,72,170,316,130,94,190,
101,204,376,72,170,315,129,94,191,
101,203,376,71,171,316,129,95,190,
101,204,377,70,170,315,129,95,190,
101,205,376,72,170,315,129,96,190,
100,204,376,70,170,315,128,95,191,
101,204,376,71,171,315,129,95,190,
102,204,376,72,170,315,128,95,190,
101,205,376,72,171,316,130,94,191,
102,204,376,73,170,316,130,96,190,
102,204,376,72,170,316,129,96,190,
101,204,376,71,170,315,128,94,190,
101,204,376,72,169,315,128,96,190,
101,204,377,73,170,316,130,95,191,
102,205,377,71,170,315,130,95,190,
103,205,377,72,170,315,130,96,190,
102,205,377,72,170,316,130,96,190,
102,205,377,73,170,316,130,95,191,
102,204,377,71,170,316,130,95,191,
103,204,377,72,170,316,130,95,191,
102,205,377,72,171,316,129,95,191,
103,205,377,71,171,316,130,96,190,
102,205,377,73,170,315,130,96,190,
102,205,378,71,170,316,130,95,191,
103,204,377,71,171,316,131,96,190,
102,205,377,72,172,316,130,96,191,
102,205,377,71,171,316,131,96,191,
103,205,377,73,171,316,131,96,190,
102,205,376,72,171,316,131,95,191,
102,205,377,73,171,316,131,96,191,
103,206,377,73,170,315,131,95,191,
104,204,376,73,170,316,132,95,191,
104,205,377,73,170,316,131,95,191,
103,204,377,73,171,316,131,96,191,
103,205,377,73,171,316,131,95,190,
104,205,376,74,171,315,130,95,191,
103,205,377,73,171,316,130,95,191,
102,205,377,73,170,316,130,96,190,
102,205,376,72,171,316,130,94,191,
104,206,376,73,171,316,131,95,190,
104,205,377,72,172,316,130,96,190,
101,206,377,72,172,316,130,96,190,
103,206,377,72,171,316,129,96,191,
103,206,376,72,172,315,129,96,190,
102,206,376,73,172,315,129,95,190,
102,206,377,73,171,316,130,96,191,
103,206,377,73,171,316,131,96,191,
102,206,377,72,172,316,131,97,191,
103,205,377,72,171,316,131,97,190,
104,206,377,73,171,317,131,96,191,
104,206,377,74,172,317,130,95,191,
103,205,377,74,171,316,130,96,191,
103,207,377,72,171,315,130,97,191,
104,206,376,72,172,316,130,96,191,
104,206,377,73,172,316,130,96,191,
103,206,376,73,172,316,130,96,191,
103,205,376,73,171,316,129,95,191,
104,205,376,73,171,316,130,95,191,
102,206,377,73,172,316,129,96,190,
102,207,376,72,172,317,129,96,191,
103,206,377,73,171,316,131,96,191,
103,206,377,72,171,316,129,95,190,
103,206,377,72,171,316,129,96,190,
102,206,377,71,172,316,129,95,191,
102,207,376,73,172,316,130,96,191,
101,206,376,73,171,315,130,95,190,
102,206,377,72,171,315,129,96,191,
103,206,377,73,172,316,130,97,191,
102,206,377,73,172,316,130,97,191,
104,206,379,73,171,316,129,97,191,
102,207,377,73,172,315,130,97,191,
102,207,378,73,172,316,131,98,191,
103,207,378,72,172,316,130,97,191,
