A1,A2,A3,B1,B2,B3,C1,C2,C3,
30,250,445,6,287,498,81,129,283,
171,378,444,175,432,499,153,220,283,
171,377,444,174,431,498,152,220,284,
171,378,445,174,432,499,152,220,283,
170,379,444,175,432,498,152,220,284,
170,379,444,175,432,499,152,219,284,
170,380,444,176,432,498,152,221,284,
170,380,445,175,432,498,153,222,284,
171,380,444,176,431,498,153,220,284,
171,380,443,174,431,497,153,221,284,
170,379,444,174,432,497,154,221,283,
171,379,444,175,433,498,154,220,284,
171,379,444,175,433,498,154,220,285,
170,377,445,176,432,498,154,220,284,
170,379,444,176,433,497,154,221,285,
172,378,444,176,431,498,155,220,285,
170,378,444,175,432,498,154,221,285,
171,377,444,176,431,498,155,222,285,
171,377,445,176,431,499,154,221,286,
171,378,443,175,432,499,154,222,286,
170,377,444,176,432,498,155,222,286,
171,378,445,175,432,499,155,221,286,
172,378,445,176,433,498,155,220,285,
171,377,445,176,432,497,155,221,286,
171,378,445,175,431,498,155,222,286,
170,377,445,174,430,498,155,220,286,
171,379,445,175,431,498,155,221,286,
171,380,445,175,433,497,155,222,285,
172,380,445,175,431,497,154,221,285,
171,379,446,175,432,498,154,221,284,
170,380,445,175,433,498,154,221,285,
171,379,445,176,432,498,155,220,285,
171,378,444,176,431,498,155,221,285,
170,379,443,175,432,498,155,220,285,
171,379,444,175,430,499,155,222,285,
171,378,444,175,429,498,154,221,285,
171,379,443,175,430,498,154,220,284,
171,379,444,176,430,498,154,221,285,
170,380,443,175,432,498,154,222,285,
171,380,443,175,433,498,154,222,285,
170,380,442,174,432,497,154,222,284,
170,380,443,175,433,498,154,222,284,
170,381,443,175,433,499,153,222,284,
171,381,443,175,432,499,154,222,285,
171,381,443,176,431,499,154,222,285,
171,381,444,175,433,499,154,222,285,
170,381,443,175,432,500,154,222,284,
171,379,444,176,432,500,154,221,285,
171,379,444,175,433,499,154,221,285,
171,379,443,176,432,500,155,221,285,
171,379,444,176,432,499,154,221,285,
172,380,444,175,433,499,154,222,286,
172,380,444,176,434,499,154,222,286,
171,380,443,176,434,499,155,222,285,
171,380,444,176,433,498,154,221,285,
170,380,444,175,433,498,154,222,285,
171,380,445,175,432,498,154,222,286,
170,379,445,176,431,499,154,222,286,
171,379,445,176,431,498,154,222,286,
171,379,446,176,431,498,153,222,286,
171,379,444,176,431,497,154,222,286,
171,379,445,176,432,497,154,222,286,
170,379,446,174,431,498,154,223,287,
171,379,446,175,431,499,153,222,287,
171,379,447,175,431,498,154,222,287,
171,379,446,175,431,499,154,222,287,
170,379,446,174,431,500,155,223,287,
171,378,447,175,431,500,155,222,287,
171,378,445,174,431,499,154,222,287,
170,377,446,174,430,500,155,221,287,
171,378,446,175,430,501,154,221,287,
170,378,447,175,430,501,154,222,287,
171,379,446,175,430,500,155,221,287,
171,379,447,175,430,500,155,221,286,
170,377,447,175,430,499,155,222,287,
170,378,446,175,430,498,155,222,287,
170,377,447,175,430,499,155,221,286,
170,377,447,175,432,499,154,222,287,
170,379,446,175,432,499,155,222,287,
171,378,447,175,432,499,154,221,287,
171,378,447,176,432,500,155,222,286,
171,378,447,175,432,499,155,221,286,
170,379,446,176,431,500,154,221,286,
170,378,446,175,431,500,153,222,286,
171,378,445,175,432,499,155,222,286,
171,380,444,175,432,498,154,222,286,
170,379,444,174,433,499,154,222,286,
171,380,445,174,432,498,153,222,286,
171,380,446,175,432,499,153,222,286,
170,380,445,175,432,499,154,223,286,
171,379,445,176,432,499,153,222,286,
170,378,444,175,431,499,154,222,286,
171,378,445,175,433,498,154,222,286,
171,379,445,175,433,499,154,221,287,
171,378,445,176,432,498,154,221,286,
170,379,446,175,433,499,154,222,286,
171,378,445,175,432,498,153,221,286,
171,378,446,176,433,499,154,221,287,
171,379,446,175,434,499,154,221,285,
170,379,445,176,432,499,154,221,286,
171,379,446,176,433,499,154,222,286,
171,379,445,176,433,499,155,222,285,
172,379,446,175,433,499,155,222,285,
172,379,444,176,433,499,154,221,286,
171,379,445,175,433,499,155,221,286,
170,379,445,176,433,497,154,222,286,
170,380,445,175,433,497,153,222,285,
172,379,445,175,433,497,155,221,285,
170,379,445,175,432,497,154,221,285,
171,378,446,175,432,498,153,221,285,
170,379,446,176,433,498,154,221,285,
171,379,446,175,433,497,154,221,286,
171,379,445,175,433,497,153,222,286,
170,378,445,175,433,498,154,222,285,
171,378,445,175,432,496,153,221,286,
170,378,445,175,432,498,152,221,285,
170,379,446,174,433,497,153,221,286,
170,379,445,176,433,497,153,222,285,
170,379,445,176,434,497,154,222,285,
171,378,444,176,434,496,154,222,284,
171,380,444,176,435,496,155,221,285,
171,379,444,176,435,495,155,222,285,
172,379,445,177,435,496,155,222,286,
172,380,446,177,435,497,154,222,285,
171,380,447,176,434,497,155,222,285,
171,380,446,177,434,497,154,222,285,
171,380,446,176,435,498,154,222,285,
171,380,446,177,435,497,155,222,286,
171,379,446,175,434,497,154,222,285,
171,380,446,175,435,497,154,223,285,
171,379,445,176,434,497,153,222,286,
173,380,446,176,433,497,154,222,286,
172,380,445,176,434,497,153,222,286,
172,380,446,177,433,497,154,222,286,
171,381,447,175,434,498,153,222,286,
172,380,447,175,433,497,153,222,285,
171,381,448,176,434,498,154,223,285,
172,383,447,176,435,496,153,223,285,
171,383,446,175,435,496,153,222,285,
172,383,447,175,434,496,154,221,285,
172,381,447,175,434,497,153,222,286,
171,382,447,176,435,497,154,221,285,
171,381,446,176,434,498,154,222,286,
172,381,447,176,435,497,153,221,286,
171,381,446,176,435,498,154,222,285,
171,380,446,175,434,498,154,222,286,
171,380,446,175,434,497,154,221,286,
171,381,447,175,435,497,153,221,286,
172,381,446,175,433,497,153,221,286,
171,381,447,175,434,497,154,222,285,
171,382,446,175,434,498,154,221,285,
172,381,446,175,433,497,154,222,286,
172,381,447,176,434,497,154,221,285,
171,381,447,176,434,498,154,222,285,
171,381,447,176,434,499,154,222,286,
172,381,448,176,435,499,154,222,286,
172,382,448,175,434,498,153,221,285,
171,381,447,175,433,498,154,222,286,
173,382,447,175,435,498,154,222,286,
171,381,446,175,435,498,155,222,285,
172,381,446,175,434,497,154,222,286,
171,381,446,175,434,498,154,223,285,
171,380,446,176,434,497,154,223,286,
171,381,447,176,433,497,154,224,286,
170,382,446,176,434,497,153,222,285,
172,382,446,176,434,497,154,222,286,
172,381,446,175,433,498,155,221,286,
172,381,448,176,434,499,155,221,286,
171,381,448,176,435,498,155,223,286,
171,381,447,175,435,498,153,221,286,
171,382,448,175,434,499,154,222,286,
171,382,447,175,434,497,153,223,286,
171,381,447,175,433,498,155,222,287,
171,382,448,176,435,498,154,223,286,
172,382,448,177,435,497,154,223,286,
172,382,447,176,436,498,154,223,287,
172,381,446,176,436,498,155,224,287,
171,382,447,176,435,499,155,223,286,
172,382,446,178,435,498,155,223,286,
173,382,446,178,436,498,154,224,286,
172,383,446,177,435,499,154,224,287,
173,382,447,178,435,500,155,223,288,
174,381,447,178,436,499,155,224,287,
173,381,448,178,435,499,155,224,287,
173,381,447,178,436,499,155,224,286,
173,382,447,177,434,499,155,224,286,
173,382,447,177,435,499,154,223,288,
174,381,447,177,435,499,156,223,287,
172,381,446,178,435,499,155,224,287,
173,381,447,177,435,499,155,222,287,
172,381,447,177,434,499,154,222,286,
173,380,447,177,433,499,155,222,286,
172,380,447,177,434,499,154,223,286,
172,380,447,176,433,500,155,222,287,
173,380,447,176,434,501,154,222,286,
172,379,446,177,435,500,154,222,286,
171,379,446,177,434,501,155,221,286,
173,379,446,176,436,500,154,222,285,
172,379,445,177,436,499,155,222,285,
173,380,446,176,435,500,154,222,285,
171,378,446,177,435,498,154,220,286,
173,379,447,176,435,499,155,222,286,
174,378,446,177,434,499,154,221,285,
172,378,448,177,435,500,156,221,285,
