A1,A2,A3,B1,B2,B3,C1,C2,C3, 
3,7,4,3,5,3,0,1,0,
7,7,3,4,5,1,1,1,0,
6,7,2,5,6,3,1,1,0,
7,8,3,4,5,3,1,1,1,
6,8,2,4,5,2,1,1,1,
7,7,4,5,5,3,2,0,0,
6,7,2,6,6,3,2,2,1,
7,8,2,5,4,1,0,1,0,
7,8,3,4,5,2,2,1,2,
7,6,3,5,5,2,1,0,0,
8,8,3,5,6,2,2,1,1,
7,7,3,6,5,2,2,1,2,
8,8,4,6,6,2,2,2,2,
6,8,3,5,5,2,2,1,0,
7,9,3,5,4,1,2,1,1,
6,8,4,5,4,2,2,1,1,
7,9,3,5,5,2,1,0,1,
7,7,3,4,5,2,2,2,0,
6,8,4,4,5,3,2,2,0,
7,7,3,5,5,2,1,1,1,
6,8,4,6,5,3,0,0,0,
8,7,3,5,5,2,0,2,1,
8,8,2,5,4,2,1,2,1,
6,8,4,5,5,2,2,1,1,
6,8,3,5,5,2,2,1,0,
6,8,3,4,5,2,1,1,1,
6,7,2,6,5,2,1,1,0,
7,8,2,5,5,2,2,1,0,
6,8,2,5,4,2,1,1,2,
6,8,4,5,5,3,1,1,1,
6,8,3,6,6,2,2,1,0,
5,8,3,5,6,2,2,1,0,
7,7,3,5,5,3,1,1,1,
6,7,3,4,4,2,1,2,2,
7,8,3,5,4,2,1,1,0,
6,8,3,5,6,3,1,1,1,
5,8,4,6,5,2,1,2,0,
6,7,3,5,5,2,1,0,1,
7,8,3,6,6,2,1,1,0,
8,9,3,6,5,1,1,2,0,
7,8,2,6,5,3,1,2,0,
7,7,4,5,6,3,1,1,0,
6,8,3,6,5,3,1,1,0,
6,10,3,6,6,3,2,2,1,
7,7,4,6,5,2,1,2,1,
8,7,3,5,6,2,1,1,1,
7,9,3,4,5,2,1,1,1,
7,8,3,5,5,1,1,2,0,
8,8,3,4,5,3,2,2,0,
7,8,3,5,6,2,1,1,1,
7,8,3,5,5,2,1,1,0,
6,9,3,5,5,2,0,1,0,
6,9,4,5,4,2,1,2,0,
7,9,3,5,5,2,1,2,0,
7,8,3,6,6,3,1,1,0,
8,9,3,5,6,1,1,2,0,
7,8,3,5,5,2,2,1,1,
7,8,3,5,5,2,2,1,1,
8,7,3,5,5,2,2,2,0,
7,8,4,6,5,3,1,2,0,
6,9,3,6,6,3,2,1,1,
7,7,3,5,6,2,2,2,1,
7,8,3,5,5,2,1,2,1,
7,8,3,4,5,1,2,1,1,
8,10,3,5,6,1,2,2,1,
7,9,3,5,6,2,1,2,0,
6,9,3,4,5,2,1,0,2,
8,8,4,5,5,3,1,1,0,
7,8,4,5,5,2,2,1,1,
8,8,4,5,6,3,1,1,1,
7,9,4,5,5,2,1,2,0,
8,8,4,6,5,2,1,2,1,
8,10,3,4,5,3,1,1,0,
8,10,4,5,5,2,1,1,2,
8,9,3,5,4,3,2,2,2,
8,8,3,4,6,3,1,2,0,
6,9,3,4,5,1,2,1,1,
7,8,3,5,4,2,1,1,0,
7,8,2,6,4,2,1,2,1,
6,8,3,5,6,2,1,1,0,
8,7,4,4,4,1,1,1,1,
6,10,3,6,5,3,0,1,1,
8,8,2,5,5,3,2,2,1,
