A1,A2,A3,B1,B2,B3,C1,C2,C3,
0,0,0,7,6,1,0,1,0,
0,0,0,8,6,2,0,0,0,
0,0,0,7,6,2,0,0,0,
0,0,0,7,5,2,0,1,0,
0,0,0,7,5,2,0,1,1,
0,0,0,7,5,2,0,2,1,
0,0,1,7,5,3,0,0,1,
0,0,0,7,4,2,0,0,0,
0,0,0,7,4,2,0,1,0,
0,0,0,7,6,3,0,1,1,
0,0,0,8,5,2,0,1,0,
0,0,0,8,4,2,0,1,1,
1,0,0,8,6,3,0,0,0,
0,0,0,7,5,2,0,1,0,
0,0,0,8,4,1,1,0,0,
0,1,0,7,5,2,0,1,0,
0,0,0,8,5,2,0,1,0,
0,0,0,9,5,1,0,1,0,
0,0,0,8,6,2,0,1,0,
0,0,0,9,5,3,1,2,0,
0,0,0,8,6,2,0,0,0,
0,0,0,7,5,1,0,1,0,
0,0,0,9,6,2,0,1,0,
0,0,0,8,5,2,0,1,0,
0,1,0,8,6,3,0,0,0,
0,0,1,8,4,2,0,1,0,
0,0,0,8,6,2,0,0,0,
0,0,0,8,5,1,0,0,0,
0,0,1,8,5,3,0,0,0,
0,0,0,8,5,1,0,0,0,
0,1,0,6,5,3,0,2,0,
0,0,0,8,5,2,0,0,0,
0,0,0,8,5,2,0,0,0,
0,0,0,7,5,1,0,0,0,
0,0,0,7,5,2,0,0,0,
0,0,0,5,4,1,0,0,0,
0,0,0,4,5,1,0,0,0,
0,0,0,5,5,1,0,1,0,
0,0,0,6,4,2,0,1,2,
0,0,0,5,4,1,0,0,2,
0,0,0,4,5,3,1,0,1,
0,0,0,5,4,2,0,0,2,
0,0,0,4,4,2,0,1,2,
0,0,0,5,5,3,0,1,0,
0,0,0,6,4,2,0,2,1,
0,0,0,5,5,2,0,1,1,
0,0,0,6,4,3,1,1,0,
0,0,0,5,5,2,1,1,3,
0,0,0,5,5,1,0,2,1,
0,0,0,5,3,2,1,1,1,
0,0,0,5,5,3,0,2,0,
0,0,0,5,3,2,0,1,0,
0,0,0,4,4,3,0,1,1,
0,0,1,5,4,3,0,2,0,
0,0,1,4,4,2,0,1,1,
0,0,0,4,4,2,0,0,2,
0,0,0,5,4,1,0,0,1,
0,0,0,4,5,3,1,0,2,
0,0,0,5,5,3,0,1,1,
0,0,0,5,4,2,0,1,0,
0,0,0,4,4,3,0,0,1,
0,0,0,4,4,2,1,1,0,
0,0,0,5,4,2,0,0,1,
