A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
1,0,4,1,1,1,0,1,4,0,7,1,0,0,0,0,3,0,
2,2,4,0,1,0,1,1,4,0,7,0,0,0,0,0,4,1,
1,1,3,1,0,1,2,1,4,0,7,0,0,0,0,0,2,0,
1,2,3,0,0,1,2,1,4,0,7,1,0,0,0,0,4,0,
1,1,2,0,0,2,3,1,3,0,7,1,0,0,0,0,2,0,
2,1,2,0,1,1,2,1,3,0,6,1,0,0,0,0,2,0,
0,1,3,0,0,2,3,1,5,0,6,0,0,0,0,0,4,0,
0,0,3,0,0,3,3,3,5,0,6,0,0,0,0,0,4,1,
1,2,4,0,1,2,1,1,4,0,7,1,0,0,0,0,4,0,
2,1,2,1,1,1,2,1,3,0,6,0,0,0,0,0,3,0,
0,2,3,0,1,1,2,2,4,0,7,1,0,0,0,0,5,0,
1,0,2,1,0,2,2,2,4,0,8,1,0,0,0,0,4,0,
2,1,2,1,0,1,1,1,4,0,6,0,0,0,0,0,3,0,
2,0,4,1,1,2,2,2,4,0,8,1,0,0,0,0,3,0,
1,1,3,0,1,1,2,2,5,0,7,0,0,0,0,0,4,0,
1,0,3,0,1,1,2,0,4,0,6,0,0,0,0,0,3,0,
1,0,4,1,0,3,2,2,4,0,7,0,0,0,0,0,3,0,
2,2,4,1,1,2,1,1,3,0,7,1,0,0,0,0,4,0,
2,3,3,0,0,2,2,1,4,0,7,2,0,0,0,0,3,0,
1,1,4,0,0,1,1,2,3,0,7,1,0,0,0,0,5,0,
2,1,2,0,0,2,1,2,4,0,9,0,0,0,0,0,2,0,
0,1,3,1,2,0,1,1,3,0,8,1,0,0,0,0,4,0,
0,2,3,1,0,1,2,1,2,0,7,1,0,0,0,0,4,0,
2,1,3,1,0,1,3,1,4,0,8,0,0,0,0,0,3,0,
1,1,4,0,0,1,1,1,4,0,7,1,0,0,0,0,4,0,
1,2,2,0,0,2,2,1,4,0,7,0,0,0,0,0,3,0,
2,2,2,0,0,2,2,1,3,0,7,0,0,0,0,0,3,0,
0,1,4,0,1,2,2,1,3,0,8,0,0,0,0,0,3,0,
0,0,3,1,0,1,1,2,3,0,6,1,0,0,0,0,3,0,
1,1,4,1,0,3,1,1,4,0,7,0,0,0,0,0,3,0,
2,2,4,0,0,3,2,1,4,0,7,1,0,0,0,0,2,0,
1,1,4,0,0,2,3,2,3,0,8,0,0,0,0,0,3,0,
0,2,4,0,0,2,2,2,4,0,6,0,0,0,0,0,4,0,
1,2,3,0,0,1,1,1,3,0,8,1,0,0,0,0,4,0,
1,1,4,0,0,1,2,1,4,0,8,0,0,0,0,0,3,0,
0,2,4,1,0,1,2,1,4,0,6,0,0,0,0,0,3,0,
1,1,2,1,1,2,2,1,3,0,7,2,0,0,0,0,4,0,
1,1,4,0,0,1,2,1,4,0,8,1,0,0,0,0,4,0,
1,1,3,0,0,2,2,1,4,0,5,0,0,0,0,0,2,0,
1,1,3,1,0,2,2,2,4,0,5,1,0,0,0,0,2,0,
1,1,1,0,0,1,2,1,4,0,4,0,0,0,0,0,0,0,
0,0,1,0,0,0,2,0,4,0,4,0,0,0,0,0,4,0,
0,0,0,0,0,0,2,2,4,0,1,0,0,0,0,0,7,0,
1,1,1,0,0,0,2,2,4,0,2,0,0,0,0,0,11,1,
1,0,2,0,0,0,3,2,4,0,3,1,0,0,0,0,13,5,
0,2,3,0,0,0,3,4,3,0,2,0,0,0,0,0,17,5,
1,1,3,1,0,0,4,4,4,0,2,0,0,0,0,0,19,2,
1,2,5,0,1,1,4,4,5,0,3,0,0,0,0,0,22,6,
2,2,7,0,1,1,5,3,5,0,2,0,0,0,0,0,24,7,
3,4,8,0,1,1,4,4,4,0,2,1,0,0,0,0,27,9,
4,6,8,2,2,0,4,5,5,0,2,1,0,0,0,0,30,9,
3,6,10,1,1,1,4,4,4,0,3,0,0,0,0,3,31,10,
3,5,8,0,1,3,4,3,5,0,4,0,0,0,0,0,36,10,
2,4,9,0,2,3,4,3,5,0,5,1,0,0,0,0,39,12,
3,4,9,1,0,2,4,3,5,0,5,0,0,0,0,0,38,14,
2,5,9,1,0,0,4,2,5,0,3,0,0,0,0,0,29,12,
3,3,8,0,0,1,3,2,4,0,2,0,0,0,0,0,20,4,
2,3,6,0,0,0,1,1,4,0,1,0,0,0,0,0,13,0,
1,2,5,0,0,1,0,1,2,0,1,0,0,0,0,0,5,0,
2,2,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,
2,3,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
2,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,
2,0,5,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,
3,1,6,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,
2,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
3,1,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
2,2,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
3,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
5,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
3,3,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,
4,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
4,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
2,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,
2,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,
