A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
0,0,15,4,83,115,7,57,47,0,0,0,5,11,12,79,148,151,
0,2,15,7,96,115,11,77,60,0,0,0,8,14,12,105,179,151,
0,3,16,7,95,117,10,78,62,0,0,0,8,14,12,105,179,151,
0,3,16,6,97,116,9,76,61,0,0,0,8,14,12,107,179,153,
0,2,15,6,97,115,10,78,61,0,0,0,8,14,12,107,181,153,
0,3,15,6,99,117,9,77,60,0,0,0,8,15,11,107,182,155,
0,3,14,6,97,116,9,78,60,0,0,0,7,14,13,106,181,153,
0,1,15,6,94,117,10,79,63,0,0,0,8,14,13,107,183,153,
0,1,14,7,92,118,10,78,63,0,0,0,8,16,12,109,183,152,
0,1,13,7,93,116,10,79,62,0,0,0,8,15,13,107,183,154,
0,3,15,7,93,118,12,78,62,0,0,1,8,16,12,108,184,153,
0,2,16,7,95,118,11,78,64,0,0,0,9,15,13,107,185,154,
0,2,16,7,97,118,10,77,64,0,0,0,9,14,12,107,183,154,
0,3,16,8,95,117,12,78,64,0,0,0,9,16,12,109,186,153,
0,3,17,9,95,116,10,78,65,0,0,0,9,14,12,109,184,152,
0,2,16,9,97,119,10,79,64,0,0,0,9,15,13,109,184,153,
0,1,14,8,96,121,12,79,64,0,0,0,8,14,13,107,184,153,
0,2,14,7,98,120,10,79,65,0,0,0,8,16,13,107,184,155,
0,2,15,9,93,125,12,78,64,0,0,0,9,15,13,108,183,152,
0,3,23,9,95,128,10,77,66,0,1,0,9,15,12,107,184,154,
0,5,40,8,97,133,11,77,68,0,1,0,8,15,12,108,184,157,
0,6,54,8,101,141,11,82,70,0,0,2,8,15,12,108,183,156,
0,8,72,10,114,147,11,85,73,1,1,0,7,15,13,108,181,156,
1,11,87,7,123,153,11,85,76,1,3,1,9,15,14,108,182,159,
0,14,93,7,122,158,11,84,77,1,2,3,9,16,14,114,185,162,
0,15,103,6,128,165,12,87,80,1,3,3,11,16,15,115,189,163,
1,16,109,8,128,169,11,90,83,2,4,4,10,18,13,113,193,164,
0,18,114,8,130,171,9,93,85,1,5,4,10,17,15,112,191,167,
0,18,119,8,134,174,11,91,86,1,4,3,9,18,14,114,194,165,
0,17,121,7,138,175,11,92,86,1,4,4,10,18,15,118,196,168,
0,19,121,9,138,176,11,96,87,1,6,3,11,18,15,118,200,170,
0,19,122,8,135,178,12,95,89,2,6,5,10,19,15,120,204,173,
1,21,125,10,139,175,12,96,91,2,6,5,10,20,17,117,206,176,
0,21,123,8,137,178,13,101,91,2,5,6,11,19,16,118,206,174,
1,21,119,7,142,179,13,103,95,2,8,8,12,20,17,122,207,178,
1,20,118,10,141,183,12,102,96,3,8,8,11,22,17,124,208,181,
0,21,121,7,138,179,13,102,98,3,8,9,12,21,17,126,208,180,
0,21,127,8,140,180,12,102,99,3,7,9,12,22,18,123,210,183,
2,21,123,9,143,183,11,103,99,4,8,10,12,21,18,130,212,186,
0,22,121,7,142,185,12,102,100,5,9,9,11,21,18,130,213,186,
0,22,125,7,138,186,11,102,100,4,9,11,11,22,19,135,216,188,
0,21,122,7,140,185,11,101,101,2,9,8,13,21,19,137,216,190,
0,21,122,8,138,186,12,99,99,2,8,9,13,21,18,139,217,189,
0,19,116,7,133,183,10,100,97,3,7,6,12,20,17,138,217,186,
1,16,102,7,128,175,10,97,95,3,4,5,13,19,17,135,214,184,
0,12,93,7,118,171,11,95,90,2,4,4,12,20,17,134,211,184,
0,15,101,8,122,172,10,93,92,2,5,5,11,20,16,134,210,183,
0,11,87,7,121,170,10,92,89,2,4,4,12,18,16,132,208,183,
0,12,80,7,114,168,11,92,86,1,4,3,12,19,16,131,207,182,
0,12,80,6,114,167,10,90,87,0,3,4,10,18,16,129,206,180,
