A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
1,1,3,1,0,0,1,0,2,0,4,0,0,0,0,0,1,0,
2,0,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,
0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,
1,0,4,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,
0,0,3,0,0,1,1,0,3,0,2,0,0,0,0,0,1,0,
1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,
0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,
1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,
2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,
2,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
1,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,
2,0,5,0,0,1,1,0,3,0,1,0,0,0,0,0,1,0,
1,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,
0,0,2,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,
0,0,1,0,0,0,2,1,3,0,1,0,0,0,0,0,1,0,
0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,2,0,
1,0,1,0,0,0,4,0,3,0,1,0,0,0,0,0,2,0,
0,0,3,0,0,1,4,2,6,0,3,0,0,0,0,0,1,1,
3,1,3,0,0,0,4,2,4,0,2,0,0,0,0,0,2,0,
2,3,4,0,1,2,4,3,5,0,2,0,0,0,0,0,0,1,
5,5,6,0,1,2,2,2,2,0,3,2,0,0,0,0,3,1,
7,6,5,3,0,3,3,4,4,0,3,4,0,0,0,0,3,4,
6,9,10,2,2,4,6,6,4,0,9,4,0,0,0,0,6,4,
6,11,10,1,3,4,5,5,4,0,11,3,0,0,0,0,7,3,
8,13,11,0,3,4,6,5,5,0,13,5,0,0,0,0,8,3,
8,9,9,4,5,3,7,5,4,0,11,5,0,0,0,0,6,4,
8,11,10,3,5,4,6,6,6,0,10,6,0,0,0,0,6,4,
7,13,12,3,4,4,6,7,6,0,9,4,0,0,0,0,9,3,
8,12,12,4,5,4,7,6,7,0,8,6,0,0,0,0,6,4,
8,14,11,5,8,6,6,7,5,0,10,5,0,0,0,0,8,6,
7,14,13,5,8,6,6,7,6,0,9,5,0,0,0,0,8,6,
9,14,14,5,8,6,6,7,6,0,9,5,0,0,0,0,11,8,
8,14,14,5,7,7,4,6,7,0,10,7,0,0,0,0,9,8,
5,14,14,4,8,10,6,7,7,0,14,9,0,0,0,0,13,9,
7,15,16,5,8,7,6,7,6,0,14,8,0,0,0,0,19,11,
7,18,17,4,6,8,5,6,6,0,16,7,0,0,0,0,21,11,
10,20,19,3,7,7,4,7,6,0,15,7,0,0,0,0,26,12,
11,23,21,3,6,7,7,8,10,0,16,7,0,0,0,0,30,14,
13,29,27,2,6,7,6,8,8,0,15,9,0,0,0,0,32,14,
