A1,A2,A3,B1,B2,B3,C1,C2,C3,
4,11,1,4,5,1,3,6,0,
4,12,1,4,4,1,3,6,1,
5,12,1,4,5,0,3,6,1,
4,12,1,2,5,0,3,6,1,
4,12,0,4,5,1,4,6,1,
6,12,2,3,5,1,4,6,0,
5,12,1,4,5,1,3,6,0,
5,13,2,3,5,1,4,6,1,
3,12,0,4,5,1,4,6,1,
4,12,2,5,5,1,4,6,1,
4,13,1,2,5,0,4,6,1,
4,12,0,2,5,1,2,7,1,
5,13,2,4,4,1,4,6,0,
4,14,1,3,4,1,4,5,2,
5,13,1,4,6,1,3,6,2,
5,13,1,3,5,0,4,6,1,
3,13,1,3,5,0,3,5,1,
4,13,1,4,6,0,4,7,1,
4,13,0,3,5,1,3,6,1,
5,13,1,2,5,1,3,5,1,
4,12,1,4,4,2,3,6,0,
5,13,0,3,5,1,4,5,1,
6,13,1,4,5,1,3,7,1,
5,13,1,4,4,1,4,7,1,
3,12,1,3,5,0,4,6,1,
4,13,0,3,5,1,4,6,1,
5,13,1,4,5,0,3,6,1,
4,13,1,4,4,2,4,5,1,
4,12,1,4,5,1,4,6,1,
4,12,0,3,5,1,5,5,0,
4,14,1,4,5,1,4,6,1,
5,13,1,4,5,1,5,6,1,
4,12,0,3,5,2,4,5,1,
4,13,1,3,5,1,3,6,0,
3,12,2,3,4,1,4,5,1,
4,13,2,3,5,1,4,6,2,
3,13,0,4,5,1,4,6,1,
4,12,1,3,5,0,3,5,1,
6,13,2,4,4,2,5,6,1,
4,13,2,4,5,1,4,5,2,
4,12,2,3,5,1,4,5,2,
4,14,1,3,5,1,4,7,1,
4,11,1,3,4,1,4,5,2,
3,13,1,4,5,0,4,4,2,
3,13,1,4,5,1,4,8,1,
4,12,1,2,5,1,4,6,2,
4,12,1,4,5,0,4,6,1,
3,11,0,4,5,0,3,5,0,
6,13,1,4,4,2,4,6,1,
5,13,2,3,4,2,4,6,1,
4,12,0,4,4,1,2,6,2,
5,13,1,3,4,1,2,6,1,
6,13,1,4,6,0,3,5,1,
4,12,1,3,5,2,4,6,1,
4,13,0,4,6,1,3,5,2,
4,13,0,3,4,1,4,6,0,
3,12,1,4,4,1,3,6,1,
4,13,0,3,4,1,3,6,0,
4,13,1,3,6,1,4,7,1,
5,12,2,2,5,1,4,6,2,
4,13,0,4,5,0,4,6,0,
3,12,1,2,5,2,4,5,1,
4,13,1,3,5,1,4,5,0,
5,13,1,3,5,0,4,6,2,
4,13,1,5,6,2,3,6,2,
4,13,1,3,5,0,5,6,2,
4,13,2,3,4,2,3,5,1,
4,13,1,4,5,1,4,7,0,
5,14,1,4,5,1,3,6,1,
4,14,2,4,5,0,3,6,2,
4,13,1,4,5,2,4,6,1,
5,11,0,4,5,1,3,6,0,
5,12,1,4,5,1,4,6,2,
5,12,1,3,5,0,3,6,1,
4,13,2,3,5,1,4,6,0,
4,13,1,5,6,1,4,7,0,
4,13,1,3,5,2,4,6,0,
4,13,1,4,5,0,4,6,1,
4,12,1,4,6,1,4,5,0,
4,12,1,3,5,2,4,6,1,
4,13,1,3,5,1,4,7,0,
4,13,2,3,5,1,3,6,1,
5,12,1,3,5,1,3,6,1,
4,13,1,3,6,2,4,6,2,
5,13,1,4,5,1,4,7,1,
4,13,0,4,4,0,4,6,1,
4,13,2,3,4,1,3,5,0,
5,12,2,4,4,1,3,7,2,
4,13,1,3,5,1,4,6,2,
5,14,1,4,5,0,3,5,1,
3,13,1,3,5,1,3,6,0,
3,12,0,4,5,1,4,6,0,
4,13,1,4,5,0,3,6,1,
5,13,2,5,4,1,4,5,2,
4,13,1,5,5,2,4,6,1,
4,11,2,4,4,2,4,6,1,
3,13,1,4,5,1,4,6,1,
4,13,1,4,6,2,4,5,0,
3,11,1,3,5,2,4,7,1,
5,13,1,4,4,1,3,6,2,
4,12,0,4,6,0,4,6,1,
4,13,0,4,6,0,3,6,1,
5,11,0,3,5,1,4,6,0,
5,12,2,5,4,2,4,6,1,
4,13,1,4,6,1,4,6,0,
3,12,1,4,4,1,4,6,1,
4,13,1,4,5,1,3,7,1,
3,12,1,2,4,1,4,6,2,
4,12,1,4,6,2,4,6,1,
4,13,1,4,6,1,3,7,1,
4,13,1,4,5,0,4,6,0,
4,12,1,4,5,0,4,5,2,
4,14,1,3,5,1,3,6,0,
4,11,1,4,5,1,4,6,0,
4,12,1,3,6,1,3,6,1,
4,13,0,5,5,1,5,6,2,
4,12,1,4,4,0,4,5,1,
4,12,2,3,5,2,4,6,2,
4,12,1,3,5,1,3,6,1,
4,13,0,3,5,1,3,6,0,
3,12,1,4,5,1,3,6,1,
3,13,1,4,5,0,4,6,0,
3,12,2,4,6,1,4,6,1,
3,12,2,4,5,2,4,6,1,
4,12,2,4,6,1,4,5,1,
4,13,0,3,6,0,5,5,2,
3,12,1,4,5,1,5,7,0,
4,11,1,4,5,1,3,5,0,
3,13,1,4,5,2,4,6,1,
3,12,1,4,5,1,4,6,1,
3,12,1,3,6,1,4,5,2,
3,13,0,3,4,1,3,6,0,
5,12,1,4,6,1,3,6,0,
4,12,0,3,6,1,4,8,0,
4,11,1,3,6,1,4,6,0,
4,12,0,3,5,0,4,6,1,
5,13,2,5,4,2,3,6,2,
4,12,1,4,6,0,4,4,1,
4,13,1,5,6,2,4,6,0,
4,13,0,4,6,1,4,6,1,
4,6,0,2,1,1,5,6,1,
3,5,1,1,3,1,3,4,1,
2,6,2,2,4,0,1,2,1,
3,7,0,2,3,1,2,2,1,
2,6,1,1,3,1,1,3,1,
4,9,2,2,2,0,1,2,0,
5,10,1,1,2,1,2,2,1,
5,11,1,2,3,1,1,4,0,
5,7,1,2,2,2,0,1,1,
3,6,0,2,3,1,1,2,1,
6,6,1,1,4,1,0,2,0,
4,5,1,2,3,2,0,1,0,
3,3,1,0,2,0,1,2,1,
3,3,2,2,2,1,0,2,1,
5,3,1,2,1,2,1,1,1,
4,2,0,3,2,1,0,2,0,
6,5,1,2,3,1,1,0,0,
5,7,1,2,3,0,0,1,1,
5,6,1,3,3,1,1,1,0,
