A1,A2,A3,B1,B2,B3,C1,C2,C3,
7,16,14,4,7,7,1,3,1,
9,18,13,4,7,6,1,3,1,
7,16,13,5,8,7,1,2,2,
8,16,13,5,8,6,2,3,2,
8,16,13,4,8,6,1,2,2,
8,18,13,4,8,6,2,2,3,
8,16,13,4,7,7,1,3,2,
8,17,13,4,9,6,1,3,4,
7,17,13,4,7,6,0,3,2,
9,16,13,4,8,6,0,2,2,
6,17,13,3,8,6,1,3,3,
8,16,13,4,7,6,1,2,2,
8,17,14,4,7,6,2,2,2,
8,17,13,5,8,6,3,3,3,
8,16,12,5,8,7,2,3,2,
8,17,13,3,7,6,2,3,2,
7,18,14,4,7,6,2,3,2,
9,17,13,4,8,6,1,2,2,
6,15,13,3,6,6,2,2,2,
9,17,12,5,7,6,2,3,2,
8,17,13,5,8,6,2,3,2,
9,16,13,4,8,7,2,3,2,
9,16,12,5,7,6,1,2,1,
9,15,14,5,8,6,3,2,2,
9,17,13,5,7,6,2,3,3,
8,17,11,4,9,6,1,3,3,
8,17,11,4,8,7,2,3,2,
9,16,13,5,7,7,1,3,3,
10,18,14,5,6,6,2,2,3,
8,17,13,5,7,6,2,3,1,
8,16,11,5,7,5,1,3,2,
9,17,14,4,7,7,1,3,2,
7,17,12,6,7,6,3,2,2,
8,16,12,5,8,7,2,3,2,
7,17,13,4,8,5,2,3,1,
7,16,13,4,8,7,1,2,2,
6,16,12,5,7,6,1,2,3,
7,16,14,3,8,6,2,3,2,
8,16,13,5,7,6,0,2,2,
8,17,13,4,8,6,1,3,2,
7,17,13,4,7,7,2,2,2,
8,16,13,6,7,6,2,1,3,
8,17,13,4,8,5,1,2,1,
8,17,13,5,8,5,1,3,2,
9,16,12,5,9,6,1,3,2,
8,16,12,5,8,6,2,2,1,
8,16,13,4,7,6,1,3,2,
7,18,12,5,8,6,2,3,3,
8,18,12,4,9,6,2,3,2,
8,17,13,3,7,6,2,3,2,
9,18,14,5,7,7,2,3,3,
8,16,13,5,8,7,1,3,2,
8,16,13,3,8,7,1,3,1,
8,18,13,5,7,5,3,3,2,
8,16,13,5,8,7,1,2,2,
8,17,13,3,7,8,3,2,2,
9,16,13,3,9,6,2,2,2,
8,16,13,4,7,6,2,4,2,
8,18,13,4,7,7,2,3,3,
9,16,14,5,8,7,2,2,3,
8,17,14,3,8,8,1,3,2,
8,17,14,5,8,8,2,2,3,
8,17,13,4,8,7,2,2,3,
9,18,13,5,8,6,3,3,3,
8,18,13,6,7,6,2,3,2,
8,17,13,5,7,7,1,4,3,
7,17,13,5,7,8,2,2,3,
8,17,14,5,8,8,2,3,2,
8,17,12,5,8,6,2,3,2,
8,17,12,4,7,5,1,2,2,
8,15,13,5,8,7,2,2,3,
8,17,13,5,9,7,2,3,1,
7,16,13,5,8,8,2,4,3,
8,16,13,4,7,7,2,2,2,
9,16,13,4,8,7,1,2,2,
8,16,14,5,7,6,1,3,2,
7,17,13,4,7,6,2,2,0,
8,16,13,6,9,6,1,3,3,
8,17,14,5,8,6,2,3,2,
9,17,13,5,7,7,2,3,3,
10,17,12,4,7,8,2,3,2,
8,16,13,5,9,7,1,3,3,
9,17,14,4,8,6,2,4,3,
8,17,13,4,7,8,2,3,1,
8,16,13,3,8,6,2,2,2,
8,16,12,5,9,8,1,2,2,
8,17,14,4,8,7,1,3,2,
8,17,13,5,8,6,1,3,2,
8,17,14,4,7,6,1,1,3,
7,17,14,5,8,7,2,2,2,
8,16,11,6,9,6,1,3,1,
8,17,13,5,7,6,1,3,1,
9,17,13,4,8,7,1,3,1,
8,16,13,4,7,6,1,2,2,
7,17,12,5,8,6,2,3,2,
7,16,14,4,8,6,3,3,2,
8,16,13,4,8,7,1,3,2,
7,15,13,4,7,6,2,2,1,
8,16,13,4,8,7,2,3,1,
7,18,12,5,8,6,2,2,2,
8,17,14,5,7,6,2,2,2,
8,16,14,3,8,7,2,2,2,
7,17,14,4,9,8,2,2,2,
8,16,12,4,9,6,2,4,3,
8,16,13,5,7,6,1,3,3,
7,16,13,4,8,7,1,3,2,
9,17,13,5,7,7,2,3,3,
9,17,14,4,8,7,1,3,3,
6,17,13,4,8,7,2,3,2,
8,16,14,6,8,6,2,3,2,
8,16,13,5,8,6,2,2,2,
9,16,14,5,8,7,2,2,3,
8,16,14,4,8,6,2,3,3,
8,16,14,6,9,7,1,3,2,
8,16,12,3,8,7,3,3,3,
8,16,13,5,7,8,2,3,3,
9,16,14,5,9,7,2,3,2,
9,16,14,4,8,7,1,3,2,
8,18,13,4,7,7,1,3,2,
8,17,15,5,8,7,2,2,2,
8,16,12,5,8,6,2,3,3,
8,16,14,5,8,5,2,2,2,
8,16,12,4,7,7,2,3,3,
7,16,13,5,9,6,2,3,3,
9,15,14,4,7,6,1,3,3,
8,16,13,5,8,8,2,2,2,
8,17,13,5,8,6,1,2,2,
9,17,13,4,7,7,1,2,2,
8,17,14,5,7,7,2,3,3,
7,16,12,4,8,6,1,3,3,
7,17,13,4,9,6,2,3,3,
6,14,13,3,8,5,2,3,4,
4,14,13,3,5,3,1,3,2,
4,14,14,1,6,4,0,3,2,
5,14,13,2,4,3,1,2,2,
5,15,12,2,4,4,1,2,2,
4,16,13,1,3,3,2,3,3,
6,15,14,3,4,4,1,2,2,
4,14,13,2,4,5,1,3,3,
5,15,14,2,5,3,0,2,2,
4,14,13,2,5,5,1,3,2,
5,15,14,2,3,5,1,2,2,
6,13,12,2,3,4,1,3,2,
3,12,12,1,2,3,2,3,2,
3,14,13,1,3,5,1,2,3,
5,13,12,3,2,3,1,3,2,
10,12,12,3,4,3,0,2,2,
9,12,12,3,2,4,1,2,2,
11,13,10,3,5,3,2,2,3,
13,13,12,3,4,4,1,2,2,
22,13,12,4,3,4,1,2,2,
22,12,10,5,4,4,2,1,1,
28,14,12,5,3,3,1,1,1,
29,13,11,5,4,3,2,2,2,
40,13,12,5,3,4,2,1,3,
45,13,13,5,3,4,3,2,3,
48,12,11,6,3,4,1,2,1,
58,12,12,6,2,3,2,3,2,
71,13,13,8,3,3,3,2,2,
79,13,13,6,3,3,3,2,2,
85,13,11,6,3,2,3,1,3,
98,14,11,9,3,3,3,2,2,
105,13,13,9,3,3,3,1,1,
110,14,12,9,4,4,4,2,2,
112,14,11,10,4,3,4,1,3,
124,14,12,10,3,2,4,2,2,
131,14,10,10,2,4,4,1,2,
139,15,11,10,4,2,4,2,1,
153,15,12,9,3,3,6,1,2,
155,15,11,10,3,3,6,1,1,
164,15,12,11,4,3,5,1,2,
168,13,10,11,2,3,5,2,1,
176,14,11,10,3,3,4,1,2,
181,14,11,10,3,4,5,1,2,
191,16,13,12,3,3,6,2,3,
196,16,12,11,3,2,5,1,1,
205,15,14,12,2,3,6,0,1,
209,16,12,13,2,2,5,2,3,
214,16,12,12,4,3,6,3,1,
215,16,14,12,4,3,5,2,2,
220,17,12,13,3,4,5,1,1,
220,17,12,13,3,4,7,2,2,
225,17,13,12,2,4,6,2,2,
223,17,11,11,2,4,6,2,2,
225,17,13,13,4,3,7,2,3,
225,17,13,12,3,2,6,2,3,
230,15,12,12,3,2,6,2,1,
232,17,13,12,2,4,7,2,1,
235,18,12,14,2,2,7,2,2,
245,16,12,14,3,4,7,3,2,
252,16,13,11,3,3,6,3,2,
257,17,13,11,2,3,7,2,3,
265,16,13,12,2,3,8,2,2,
270,18,12,11,3,3,8,2,2,
274,18,13,13,3,3,7,3,2,
278,16,13,12,2,3,7,2,2,
285,17,13,13,2,3,6,2,3,
288,17,12,12,3,2,8,2,3,
296,16,13,12,2,3,8,2,2,
302,17,13,13,1,3,8,2,1,
308,18,12,13,3,3,8,2,2,
314,17,12,13,2,3,8,3,2,
319,18,13,12,3,3,8,3,2,
322,17,14,13,2,3,8,1,1,
324,18,13,13,3,2,8,3,1,
330,17,13,14,2,2,8,1,2,
336,17,13,12,2,3,9,1,2,
340,18,13,14,3,3,8,2,0,
345,19,13,15,4,2,9,1,1,
349,20,13,13,4,3,9,2,2,
353,18,13,15,2,3,10,2,3,
358,19,12,14,2,3,9,2,1,
362,18,13,14,2,2,8,1,2,
368,20,13,14,3,2,9,2,1,
376,19,13,14,2,3,10,2,2,
380,20,13,14,3,3,8,3,2,
386,19,12,14,2,2,9,3,2,
390,19,13,14,2,3,10,1,1,
396,19,13,14,2,3,9,2,1,
402,21,12,15,2,2,9,2,2,
412,22,12,14,2,2,11,2,2,
414,21,14,14,3,3,9,2,1,
420,22,13,17,3,3,9,2,3,
424,22,13,14,4,2,9,2,2,
427,22,12,15,3,1,10,1,1,
437,20,13,15,3,3,11,2,2,
438,23,14,14,3,2,9,2,2,
448,22,14,15,2,3,9,1,1,
458,22,13,16,3,3,9,3,2,
470,23,13,14,3,2,10,3,1,
480,22,14,14,3,3,10,2,2,
488,23,14,16,3,3,10,3,2,
493,23,14,16,2,2,11,2,2,
497,25,13,16,3,2,11,3,1,
504,25,15,16,4,3,11,2,2,
505,27,15,17,4,4,12,3,3,
507,26,14,16,3,4,12,2,2,
510,25,14,16,3,2,11,2,2,
516,25,15,18,3,2,11,2,3,
524,26,14,17,3,2,11,1,1,
531,26,16,18,4,3,10,2,2,
536,26,15,17,3,3,11,2,3,
539,25,14,17,3,3,12,2,3,
542,27,14,17,3,2,12,3,2,
546,25,15,20,2,3,12,3,2,
549,25,14,18,3,3,12,2,2,
555,25,15,19,2,3,12,2,2,
561,23,15,19,3,3,13,3,1,
569,25,14,20,2,3,11,2,2,
571,26,13,19,3,4,13,3,2,
572,25,14,19,2,3,12,3,2,
577,26,15,20,4,3,13,3,2,
577,27,15,19,3,2,12,3,2,
583,26,13,20,2,3,13,2,3,
586,25,15,19,2,3,13,2,3,
589,26,15,21,4,2,12,2,3,
592,27,14,19,3,3,14,2,2,
595,27,14,19,3,4,14,2,3,
600,25,15,21,3,2,13,2,1,
605,26,15,22,3,4,14,2,2,
613,27,13,20,2,2,12,1,1,
616,27,14,21,2,3,14,2,2,
619,28,15,22,3,3,14,3,2,
620,28,14,22,2,3,14,2,2,
623,29,15,20,3,3,14,2,1,
623,30,14,22,4,3,14,3,2,
623,29,14,21,2,3,14,3,2,
622,29,15,22,4,3,15,3,3,
620,28,13,23,3,3,15,2,3,
624,30,15,21,3,2,15,3,2,
627,29,13,23,3,2,14,3,2,
629,29,14,22,2,4,13,3,1,
633,30,14,23,2,3,13,3,3,
639,30,12,21,4,4,14,2,3,
640,31,15,23,4,3,15,2,1,
645,31,14,23,3,4,14,2,2,
645,30,13,24,4,4,14,2,2,
648,30,15,24,4,3,15,2,2,
654,31,15,25,5,2,15,2,2,
658,30,14,25,5,4,14,3,1,
659,27,14,25,4,4,15,3,3,
663,28,13,25,4,3,15,3,2,
666,30,15,24,2,2,15,2,3,
