A1,A2,A3,B1,B2,B3,C1,C2,C3,
38,16,12,17,9,10,3,1,3,
39,15,11,18,9,10,3,0,1,
40,16,11,19,9,9,4,2,1,
38,15,11,18,10,9,2,1,1,
39,15,11,19,10,8,4,1,1,
38,16,11,19,10,10,3,0,2,
40,15,11,18,11,10,2,1,2,
41,15,10,18,10,9,4,1,1,
39,16,12,18,10,10,2,0,1,
39,15,12,19,9,9,4,1,2,
40,16,12,18,10,10,2,0,1,
40,17,11,19,10,9,3,1,2,
38,17,11,20,9,9,2,0,2,
38,15,13,19,10,10,4,1,2,
40,16,10,18,9,10,3,2,3,
40,16,12,20,10,10,3,2,2,
41,16,10,20,10,9,4,0,1,
39,16,12,19,10,9,2,1,2,
38,15,12,20,11,9,2,1,1,
38,16,11,19,10,9,4,2,1,
38,16,11,19,11,9,2,1,2,
40,15,11,19,10,9,3,1,1,
38,16,11,20,10,9,2,3,1,
39,16,11,18,10,9,2,1,2,
39,16,12,19,11,9,4,3,2,
39,15,11,19,10,9,3,2,0,
38,16,13,19,9,10,4,1,2,
39,16,12,18,10,9,3,2,2,
39,17,12,18,10,10,3,0,1,
38,15,12,18,10,9,4,1,3,
40,16,11,19,10,10,3,2,1,
39,16,12,18,9,9,3,1,2,
39,16,12,19,10,10,3,1,1,
39,16,12,18,9,10,4,2,1,
39,16,12,19,9,10,3,2,2,
39,16,12,19,9,9,3,2,2,
39,16,12,19,10,9,2,1,1,
38,15,12,20,10,10,3,1,0,
40,16,11,19,10,10,3,1,2,
39,15,12,19,10,10,3,1,2,
41,16,10,18,9,10,2,2,1,
38,16,12,20,9,10,3,1,2,
39,16,12,19,10,10,2,2,2,
41,16,12,20,10,9,2,1,1,
39,15,12,18,10,10,3,1,2,
39,16,12,20,9,10,2,2,2,
39,16,11,19,10,9,2,1,1,
40,16,11,19,7,9,3,2,1,
39,16,11,20,9,10,4,1,1,
39,16,11,19,9,10,4,1,2,
40,16,12,20,9,10,2,1,1,
39,17,11,18,9,10,4,0,1,
39,16,11,20,10,9,2,2,2,
39,16,10,19,10,9,3,2,1,
40,16,11,20,10,10,4,1,1,
40,17,11,19,10,10,3,2,2,
39,15,11,20,10,10,2,1,1,
40,16,12,20,10,10,3,2,1,
39,15,11,20,9,10,3,1,0,
39,15,12,18,10,11,2,1,0,
40,16,12,19,11,9,3,1,1,
39,16,11,19,10,10,2,1,2,
40,16,12,20,10,9,3,1,1,
40,17,12,19,10,9,3,1,1,
39,16,12,19,10,8,2,1,2,
38,16,12,19,9,11,3,2,1,
40,15,12,18,10,9,2,1,1,
40,17,11,19,9,10,4,0,0,
39,16,11,19,9,9,3,0,0,
39,16,12,20,10,10,3,0,1,
39,15,12,18,10,10,3,2,2,
40,16,12,20,11,11,3,2,2,
40,16,10,19,10,10,3,1,2,
39,16,12,19,9,10,2,2,2,
39,15,10,20,10,9,3,2,1,
40,16,11,20,10,9,3,2,2,
40,17,12,20,11,10,3,2,1,
39,16,12,21,10,10,3,1,1,
39,16,10,20,10,10,3,1,1,
39,16,12,20,10,10,3,0,1,
39,16,11,19,10,10,3,1,1,
40,17,11,20,10,11,3,1,1,
40,16,11,20,11,10,3,1,2,
41,15,10,19,10,9,3,1,2,
40,16,10,19,10,10,3,2,1,
40,16,12,18,11,10,2,2,1,
40,15,12,20,10,10,2,2,2,
40,16,11,20,10,10,3,1,1,
40,16,12,18,11,10,3,1,1,
39,16,12,20,10,10,3,1,0,
39,17,12,20,11,10,2,2,2,
39,15,12,19,10,10,3,1,1,
40,16,13,19,11,9,2,3,1,
39,17,11,20,10,9,2,3,1,
39,16,12,19,9,9,4,1,1,
40,15,12,20,10,10,3,2,1,
40,17,11,19,9,10,2,1,1,
39,15,12,20,9,10,3,2,3,
40,15,12,20,11,11,2,0,1,
39,17,12,20,10,10,3,2,1,
39,15,12,20,11,10,3,0,0,
40,16,12,19,10,10,2,1,1,
39,16,12,18,11,9,4,1,1,
39,17,11,20,10,10,2,2,2,
40,16,13,20,10,10,3,2,1,
40,15,12,20,10,9,4,2,1,
40,17,12,19,9,10,3,2,0,
39,16,11,20,10,10,3,2,2,
40,17,10,18,10,10,2,0,1,
39,17,10,19,11,10,4,2,2,
39,17,11,20,9,9,2,2,1,
39,15,12,19,10,10,3,1,2,
40,16,10,20,10,9,3,2,1,
39,16,11,19,10,10,3,2,2,
39,16,10,19,10,9,3,1,1,
40,17,12,19,10,9,3,1,1,
39,17,12,20,10,10,3,1,1,
40,17,11,19,10,9,3,2,1,
40,16,11,19,11,10,2,1,2,
39,15,11,20,10,9,3,3,2,
39,16,12,19,11,9,3,1,1,
38,16,11,19,11,10,1,2,1,
40,16,11,19,10,10,2,2,2,
40,16,10,18,11,10,3,1,1,
40,16,12,19,11,11,2,1,2,
40,16,10,19,11,10,2,1,2,
39,16,11,20,11,11,3,2,1,
40,16,10,18,11,9,3,2,1,
39,16,12,19,10,9,3,1,1,
40,15,12,20,10,9,2,2,1,
39,15,11,19,10,10,2,2,2,
38,16,11,19,10,10,3,1,1,
39,17,12,18,10,10,3,1,1,
39,16,12,18,12,10,3,2,2,
41,15,12,19,10,10,2,1,1,
40,16,11,20,10,11,2,1,1,
39,16,12,19,11,10,2,2,0,
38,16,10,20,10,11,4,1,2,
40,15,12,19,10,10,3,1,2,
41,16,12,20,10,10,4,2,2,
39,16,12,19,10,9,2,2,1,
39,16,12,19,11,10,3,0,1,
40,17,12,20,11,9,2,1,1,
40,16,11,18,10,10,3,0,1,
39,16,12,20,11,11,3,2,1,
39,16,11,20,10,11,3,1,1,
39,16,12,19,10,11,3,1,1,
