%time,field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,field52,field53,field54,field55,field56,field57,field58,field59,field60,field61,field62,field63,field64,field65,field66,field67,field68,field69,field70,field71,field72,field73,field74,field75,field76,field77,field78,field79,field80,field81,field82,field83,field84,field85,field86,field87,field88,field89,field90,field91,field92,field93,field94,field95,field96,field97,field98,field99,field100,field101,field102,field103,field104,field105,field106,field107,field108,field109,field110,field111,field112,field113,field114,field115,field116,field117,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,field131,field132,field133,field134,field135,field136,field137,field138,field139,field140,field141,field142,field143
1582897085552340984,7.0,8.0,64.0,7.0,9.0,8.0,77.0,5.0,125.0,8.0,25.0,12.0,7.0,8.0,47.0,25.0,11.0,7.0,33.0,7.0,24.0,0.0,23.0,10.0,8.0,8.0,34.0,8.0,9.0,8.0,68.0,8.0,113.0,7.0,17.0,11.0,9.0,6.0,27.0,7.0,8.0,8.0,66.0,7.0,107.0,8.0,12.0,8.0,9.0,8.0,28.0,7.0,32.0,16.0,67.0,7.0,103.0,8.0,29.0,27.0,10.0,7.0,26.0,24.0,25.0,16.0,18.0,8.0,22.0,0.0,23.0,21.0,7.0,9.0,21.0,11.0,18.0,12.0,56.0,7.0,114.0,6.0,17.0,18.0,8.0,13.0,23.0,27.0,15.0,11.0,13.0,7.0,26.0,0.0,15.0,16.0,8.0,11.0,24.0,11.0,13.0,9.0,59.0,7.0,111.0,7.0,12.0,10.0,8.0,10.0,81.0,25.0,11.0,7.0,11.0,7.0,33.0,0.0,10.0,11.0,8.0,10.0,104.0,7.0,10.0,9.0,54.0,7.0,129.0,6.0,11.0,12.0,7.0,9.0,89.0,9.0,9.0,9.0,57.0,7.0,128.0,7.0,7.0,32265.0
1582897085572499036,8.0,8.0,64.0,7.0,9.0,7.0,81.0,7.0,117.0,8.0,20.0,10.0,6.0,8.0,45.0,26.0,9.0,8.0,32.0,7.0,22.0,0.0,21.0,11.0,8.0,8.0,35.0,7.0,9.0,8.0,75.0,7.0,104.0,8.0,16.0,11.0,9.0,6.0,26.0,5.0,8.0,8.0,70.0,7.0,109.0,8.0,15.0,9.0,9.0,8.0,28.0,7.0,32.0,16.0,66.0,5.0,110.0,8.0,28.0,27.0,7.0,8.0,27.0,25.0,25.0,13.0,18.0,6.0,19.0,0.0,22.0,21.0,8.0,7.0,21.0,9.0,19.0,12.0,56.0,6.0,116.0,7.0,17.0,18.0,8.0,13.0,23.0,27.0,15.0,11.0,13.0,7.0,26.0,0.0,15.0,16.0,8.0,11.0,24.0,11.0,13.0,9.0,59.0,7.0,111.0,7.0,12.0,10.0,7.0,10.0,81.0,25.0,10.0,10.0,11.0,8.0,34.0,0.0,11.0,11.0,8.0,8.0,106.0,9.0,9.0,8.0,52.0,6.0,132.0,5.0,9.0,9.0,8.0,8.0,90.0,7.0,9.0,7.0,52.0,7.0,132.0,5.0,9.0,32264.0
1582897085592406988,7.0,8.0,64.0,7.0,9.0,9.0,80.0,7.0,121.0,8.0,24.0,10.0,8.0,8.0,46.0,24.0,10.0,7.0,32.0,8.0,23.0,0.0,21.0,12.0,7.0,8.0,35.0,9.0,10.0,8.0,70.0,7.0,115.0,7.0,17.0,8.0,9.0,7.0,26.0,7.0,9.0,8.0,68.0,5.0,98.0,5.0,11.0,8.0,8.0,8.0,28.0,8.0,33.0,16.0,63.0,8.0,115.0,7.0,33.0,27.0,7.0,8.0,27.0,25.0,25.0,13.0,18.0,6.0,19.0,0.0,22.0,21.0,8.0,7.0,21.0,9.0,19.0,12.0,56.0,6.0,116.0,7.0,17.0,18.0,71.0,12.0,23.0,9.0,15.0,10.0,0.0,5.0,28.0,7.0,14.0,16.0,7.0,11.0,23.0,69.0,13.0,10.0,11.0,7.0,23.0,0.0,13.0,12.0,7.0,10.0,80.0,9.0,11.0,9.0,54.0,7.0,112.0,7.0,10.0,12.0,8.0,9.0,104.0,7.0,10.0,8.0,57.0,7.0,136.0,6.0,8.0,10.0,8.0,9.0,89.0,11.0,8.0,8.0,58.0,6.0,127.0,8.0,9.0,32262.0
1582897085612483978,7.0,8.0,64.0,7.0,9.0,8.0,80.0,6.0,128.0,7.0,23.0,9.0,8.0,8.0,46.0,25.0,8.0,9.0,32.0,7.0,24.0,0.0,21.0,10.0,7.0,8.0,35.0,5.0,9.0,8.0,74.0,6.0,104.0,8.0,17.0,11.0,9.0,7.0,26.0,7.0,9.0,8.0,68.0,5.0,98.0,5.0,11.0,8.0,8.0,8.0,28.0,8.0,33.0,16.0,63.0,8.0,115.0,7.0,33.0,27.0,10.0,7.0,27.0,24.0,24.0,14.0,17.0,8.0,23.0,0.0,23.0,23.0,8.0,8.0,21.0,11.0,20.0,12.0,59.0,6.0,106.0,8.0,17.0,18.0,9.0,11.0,23.0,11.0,15.0,10.0,50.0,8.0,115.0,6.0,15.0,15.0,8.0,11.0,25.0,9.0,12.0,10.0,53.0,7.0,117.0,8.0,11.0,12.0,6.0,11.0,80.0,26.0,11.0,7.0,10.0,7.0,34.0,0.0,10.0,12.0,8.0,9.0,105.0,7.0,9.0,9.0,59.0,7.0,128.0,7.0,9.0,9.0,7.0,9.0,87.0,9.0,8.0,8.0,57.0,7.0,128.0,9.0,11.0,32265.0
1582897085632460117,7.0,8.0,64.0,7.0,9.0,9.0,80.0,6.0,123.0,7.0,25.0,7.0,8.0,8.0,46.0,25.0,8.0,9.0,32.0,7.0,24.0,0.0,21.0,10.0,7.0,8.0,35.0,5.0,9.0,8.0,74.0,6.0,104.0,8.0,17.0,11.0,9.0,7.0,26.0,9.0,9.0,8.0,63.0,8.0,105.0,8.0,13.0,10.0,9.0,8.0,28.0,5.0,31.0,16.0,65.0,7.0,113.0,7.0,28.0,28.0,8.0,7.0,27.0,25.0,24.0,13.0,17.0,8.0,22.0,0.0,21.0,23.0,8.0,8.0,21.0,7.0,19.0,11.0,64.0,8.0,103.0,7.0,16.0,18.0,7.0,12.0,23.0,26.0,16.0,10.0,12.0,7.0,27.0,0.0,13.0,15.0,8.0,12.0,23.0,67.0,13.0,9.0,13.0,7.0,23.0,0.0,12.0,12.0,7.0,9.0,80.0,9.0,11.0,10.0,54.0,7.0,124.0,6.0,9.0,9.0,8.0,12.0,104.0,7.0,10.0,9.0,53.0,6.0,131.0,5.0,10.0,9.0,8.0,8.0,89.0,7.0,10.0,9.0,55.0,8.0,132.0,7.0,10.0,32263.0
1582897085652595996,8.0,8.0,64.0,7.0,8.0,9.0,80.0,6.0,123.0,7.0,25.0,7.0,7.0,8.0,48.0,24.0,8.0,8.0,33.0,8.0,23.0,0.0,24.0,9.0,7.0,8.0,34.0,9.0,9.0,9.0,76.0,6.0,114.0,7.0,16.0,10.0,9.0,7.0,26.0,7.0,8.0,8.0,67.0,5.0,107.0,6.0,12.0,10.0,9.0,8.0,29.0,9.0,32.0,17.0,69.0,7.0,105.0,6.0,29.0,27.0,9.0,7.0,26.0,23.0,24.0,14.0,18.0,7.0,22.0,0.0,24.0,22.0,8.0,8.0,22.0,9.0,20.0,12.0,54.0,7.0,116.0,9.0,16.0,17.0,7.0,12.0,23.0,25.0,14.0,9.0,13.0,7.0,26.0,0.0,15.0,14.0,7.0,11.0,25.0,11.0,13.0,9.0,61.0,6.0,114.0,7.0,12.0,12.0,7.0,8.0,79.0,27.0,11.0,9.0,9.0,8.0,33.0,0.0,13.0,11.0,7.0,9.0,104.0,9.0,10.0,8.0,54.0,6.0,132.0,6.0,10.0,8.0,8.0,8.0,89.0,7.0,10.0,9.0,55.0,8.0,132.0,7.0,10.0,32263.0
1582897085672542095,7.0,8.0,64.0,9.0,9.0,8.0,82.0,6.0,123.0,7.0,23.0,7.0,7.0,8.0,47.0,25.0,9.0,8.0,32.0,7.0,23.0,0.0,23.0,9.0,8.0,8.0,35.0,7.0,9.0,7.0,72.0,7.0,102.0,7.0,16.0,11.0,10.0,8.0,26.0,8.0,8.0,8.0,66.0,7.0,97.0,9.0,14.0,10.0,9.0,7.0,28.0,7.0,32.0,16.0,72.0,6.0,107.0,9.0,29.0,28.0,8.0,6.0,27.0,24.0,25.0,13.0,18.0,7.0,22.0,0.0,22.0,23.0,8.0,8.0,22.0,9.0,19.0,13.0,63.0,7.0,113.0,8.0,18.0,19.0,7.0,13.0,24.0,28.0,17.0,13.0,14.0,8.0,26.0,0.0,16.0,13.0,8.0,9.0,25.0,9.0,13.0,9.0,58.0,7.0,113.0,7.0,13.0,13.0,7.0,8.0,79.0,27.0,11.0,9.0,9.0,8.0,33.0,0.0,13.0,11.0,7.0,9.0,104.0,9.0,10.0,8.0,54.0,6.0,132.0,6.0,10.0,8.0,7.0,8.0,88.0,7.0,9.0,8.0,57.0,7.0,129.0,8.0,9.0,32265.0
1582897085692646980,7.0,7.0,64.0,7.0,8.0,9.0,80.0,7.0,109.0,5.0,23.0,7.0,6.0,8.0,47.0,25.0,8.0,10.0,33.0,7.0,24.0,0.0,22.0,11.0,7.0,6.0,35.0,7.0,9.0,9.0,76.0,5.0,108.0,9.0,15.0,11.0,8.0,7.0,27.0,7.0,8.0,8.0,65.0,7.0,107.0,7.0,15.0,10.0,8.0,8.0,28.0,7.0,32.0,16.0,72.0,8.0,117.0,8.0,28.0,29.0,7.0,8.0,27.0,26.0,25.0,14.0,19.0,7.0,20.0,0.0,23.0,21.0,8.0,9.0,21.0,9.0,19.0,12.0,64.0,6.0,111.0,8.0,17.0,19.0,7.0,13.0,24.0,28.0,17.0,13.0,14.0,8.0,26.0,0.0,16.0,13.0,8.0,9.0,25.0,9.0,13.0,9.0,58.0,7.0,113.0,7.0,13.0,13.0,67.0,10.0,81.0,9.0,11.0,8.0,0.0,6.0,34.0,6.0,10.0,12.0,7.0,9.0,103.0,10.0,9.0,8.0,10.0,7.0,41.0,5.0,12.0,10.0,7.0,8.0,87.0,67.0,9.0,8.0,9.0,7.0,35.0,0.0,8.0,32265.0
1582897085712651968,7.0,7.0,64.0,9.0,9.0,8.0,80.0,7.0,102.0,7.0,23.0,9.0,7.0,8.0,47.0,25.0,9.0,8.0,33.0,8.0,22.0,0.0,21.0,10.0,8.0,7.0,34.0,9.0,9.0,8.0,74.0,5.0,113.0,6.0,16.0,11.0,9.0,8.0,27.0,9.0,9.0,7.0,68.0,6.0,103.0,8.0,13.0,11.0,8.0,6.0,27.0,8.0,32.0,16.0,69.0,7.0,116.0,8.0,28.0,28.0,7.0,8.0,27.0,26.0,25.0,14.0,19.0,7.0,20.0,0.0,23.0,21.0,8.0,9.0,21.0,9.0,19.0,12.0,64.0,6.0,111.0,8.0,17.0,19.0,8.0,12.0,23.0,25.0,14.0,12.0,15.0,7.0,26.0,0.0,13.0,16.0,7.0,10.0,23.0,9.0,13.0,10.0,11.0,7.0,24.0,7.0,12.0,9.0,8.0,9.0,80.0,27.0,9.0,9.0,9.0,7.0,34.0,0.0,10.0,11.0,8.0,9.0,104.0,9.0,10.0,9.0,60.0,6.0,117.0,6.0,9.0,9.0,8.0,9.0,88.0,8.0,9.0,9.0,54.0,7.0,130.0,8.0,9.0,32266.0
1582897085732739925,6.0,7.0,64.0,9.0,9.0,8.0,81.0,7.0,111.0,6.0,24.0,9.0,8.0,7.0,47.0,27.0,9.0,7.0,32.0,8.0,23.0,0.0,23.0,12.0,8.0,8.0,34.0,7.0,9.0,8.0,74.0,7.0,115.0,8.0,14.0,10.0,9.0,8.0,27.0,9.0,9.0,7.0,68.0,6.0,103.0,8.0,13.0,11.0,8.0,6.0,27.0,8.0,32.0,16.0,69.0,7.0,116.0,8.0,28.0,28.0,8.0,8.0,28.0,24.0,25.0,13.0,18.0,8.0,23.0,0.0,22.0,22.0,8.0,8.0,21.0,9.0,20.0,12.0,64.0,6.0,96.0,6.0,18.0,17.0,9.0,12.0,24.0,26.0,15.0,12.0,13.0,8.0,28.0,0.0,12.0,14.0,7.0,11.0,24.0,11.0,12.0,10.0,51.0,7.0,111.0,8.0,12.0,10.0,7.0,10.0,81.0,26.0,11.0,9.0,10.0,8.0,35.0,0.0,10.0,12.0,7.0,10.0,105.0,67.0,8.0,9.0,10.0,6.0,39.0,0.0,12.0,11.0,7.0,9.0,88.0,9.0,9.0,8.0,57.0,8.0,132.0,7.0,9.0,32267.0
