%time,field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,field52,field53,field54,field55,field56,field57,field58,field59,field60,field61,field62,field63,field64,field65,field66,field67,field68,field69,field70,field71,field72,field73,field74,field75,field76,field77,field78,field79,field80,field81,field82,field83,field84,field85,field86,field87,field88,field89,field90,field91,field92,field93,field94,field95,field96,field97,field98,field99,field100,field101,field102,field103,field104,field105,field106,field107,field108,field109,field110,field111,field112,field113,field114,field115,field116,field117,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,field131,field132,field133,field134,field135,field136,field137,field138,field139,field140,field141,field142,field143
1582898634953640937,10.0,8.0,86.0,9.0,10.0,10.0,49.0,8.0,80.0,7.0,32.0,11.0,8.0,8.0,61.0,21.0,10.0,9.0,9.0,7.0,22.0,4.0,27.0,12.0,8.0,8.0,44.0,8.0,9.0,8.0,51.0,8.0,82.0,5.0,19.0,9.0,8.0,9.0,32.0,8.0,9.0,7.0,49.0,8.0,78.0,6.0,15.0,10.0,8.0,8.0,46.0,9.0,46.0,25.0,61.0,4.0,74.0,5.0,57.0,44.0,8.0,8.0,47.0,18.0,35.0,21.0,19.0,8.0,15.0,2.0,40.0,33.0,7.0,9.0,36.0,10.0,26.0,18.0,55.0,7.0,74.0,7.0,28.0,25.0,8.0,12.0,32.0,20.0,21.0,16.0,15.0,7.0,27.0,6.0,23.0,20.0,9.0,11.0,32.0,55.0,16.0,13.0,13.0,7.0,25.0,0.0,19.0,15.0,6.0,9.0,94.0,9.0,14.0,11.0,48.0,8.0,94.0,6.0,16.0,14.0,10.0,8.0,132.0,12.0,12.0,9.0,49.0,6.0,90.0,7.0,12.0,11.0,10.0,9.0,121.0,11.0,11.0,9.0,47.0,8.0,94.0,7.0,9.0,32266.0
1582898634973628997,9.0,9.0,84.0,9.0,10.0,9.0,49.0,7.0,84.0,7.0,32.0,10.0,8.0,8.0,60.0,20.0,10.0,7.0,10.0,7.0,21.0,3.0,26.0,11.0,8.0,8.0,44.0,7.0,9.0,9.0,49.0,6.0,71.0,6.0,19.0,9.0,6.0,9.0,32.0,9.0,9.0,8.0,48.0,7.0,65.0,5.0,15.0,8.0,8.0,8.0,46.0,11.0,45.0,26.0,60.0,7.0,77.0,6.0,56.0,41.0,7.0,8.0,49.0,19.0,35.0,19.0,19.0,8.0,14.0,1.0,42.0,33.0,8.0,9.0,36.0,10.0,26.0,18.0,56.0,7.0,77.0,6.0,30.0,26.0,6.0,12.0,32.0,18.0,20.0,15.0,14.0,8.0,27.0,1.0,23.0,20.0,9.0,11.0,32.0,55.0,16.0,13.0,13.0,7.0,25.0,0.0,19.0,15.0,6.0,9.0,94.0,9.0,14.0,11.0,48.0,8.0,94.0,6.0,16.0,14.0,11.0,9.0,132.0,13.0,12.0,11.0,49.0,8.0,87.0,7.0,12.0,13.0,11.0,9.0,120.0,11.0,10.0,9.0,45.0,6.0,80.0,5.0,11.0,32267.0
1582898634993678092,8.0,8.0,85.0,9.0,11.0,11.0,49.0,6.0,75.0,6.0,31.0,9.0,10.0,8.0,61.0,22.0,9.0,7.0,9.0,8.0,21.0,5.0,29.0,12.0,8.0,8.0,44.0,9.0,10.0,9.0,49.0,7.0,80.0,7.0,18.0,11.0,9.0,8.0,32.0,7.0,9.0,8.0,49.0,7.0,82.0,6.0,16.0,11.0,8.0,8.0,47.0,8.0,45.0,26.0,23.0,7.0,15.0,6.0,57.0,44.0,7.0,8.0,48.0,53.0,35.0,20.0,19.0,7.0,13.0,0.0,41.0,32.0,8.0,9.0,36.0,10.0,26.0,18.0,56.0,7.0,77.0,6.0,30.0,26.0,6.0,12.0,32.0,18.0,20.0,15.0,14.0,8.0,27.0,1.0,23.0,20.0,8.0,11.0,32.0,7.0,16.0,12.0,49.0,7.0,76.0,7.0,18.0,17.0,8.0,11.0,93.0,19.0,14.0,10.0,12.0,7.0,29.0,3.0,17.0,14.0,9.0,10.0,132.0,9.0,11.0,11.0,48.0,7.0,103.0,7.0,13.0,12.0,10.0,8.0,120.0,11.0,11.0,9.0,48.0,6.0,96.0,7.0,13.0,32265.0
1582898635014113903,9.0,8.0,84.0,9.0,9.0,9.0,50.0,8.0,84.0,8.0,33.0,12.0,10.0,8.0,61.0,21.0,9.0,9.0,9.0,8.0,22.0,1.0,28.0,10.0,7.0,8.0,43.0,10.0,9.0,8.0,49.0,8.0,70.0,7.0,19.0,9.0,9.0,7.0,32.0,9.0,8.0,8.0,45.0,8.0,72.0,7.0,15.0,10.0,8.0,8.0,47.0,8.0,45.0,26.0,23.0,7.0,15.0,6.0,57.0,44.0,7.0,8.0,48.0,53.0,35.0,20.0,19.0,7.0,13.0,0.0,41.0,32.0,9.0,8.0,35.0,10.0,26.0,17.0,53.0,8.0,79.0,7.0,31.0,24.0,8.0,12.0,34.0,19.0,21.0,16.0,15.0,8.0,27.0,0.0,23.0,19.0,7.0,10.0,33.0,11.0,17.0,13.0,50.0,7.0,79.0,7.0,17.0,17.0,52.0,10.0,94.0,8.0,14.0,11.0,0.0,7.0,25.0,7.0,15.0,14.0,10.0,10.0,131.0,11.0,12.0,11.0,11.0,7.0,35.0,6.0,12.0,12.0,10.0,10.0,120.0,57.0,11.0,9.0,10.0,7.0,32.0,0.0,9.0,32268.0
1582898635033746957,10.0,9.0,84.0,11.0,11.0,9.0,51.0,7.0,86.0,8.0,30.0,11.0,8.0,9.0,60.0,19.0,9.0,7.0,11.0,8.0,21.0,3.0,25.0,11.0,7.0,8.0,43.0,10.0,9.0,8.0,49.0,8.0,70.0,7.0,19.0,9.0,9.0,7.0,32.0,9.0,8.0,8.0,45.0,8.0,72.0,7.0,15.0,10.0,8.0,9.0,45.0,7.0,44.0,26.0,60.0,8.0,80.0,7.0,58.0,43.0,9.0,9.0,46.0,18.0,34.0,19.0,19.0,7.0,14.0,2.0,42.0,34.0,8.0,8.0,35.0,9.0,26.0,17.0,52.0,7.0,72.0,8.0,30.0,26.0,8.0,11.0,33.0,18.0,20.0,15.0,13.0,8.0,28.0,0.0,23.0,21.0,8.0,11.0,33.0,8.0,17.0,13.0,50.0,7.0,75.0,7.0,18.0,15.0,8.0,9.0,93.0,18.0,14.0,10.0,12.0,7.0,30.0,4.0,15.0,13.0,10.0,9.0,131.0,11.0,12.0,10.0,49.0,5.0,98.0,7.0,12.0,15.0,10.0,9.0,119.0,9.0,10.0,10.0,48.0,7.0,84.0,7.0,11.0,32267.0
1582898635054109096,10.0,9.0,84.0,11.0,11.0,9.0,51.0,7.0,86.0,8.0,30.0,11.0,8.0,9.0,60.0,19.0,9.0,7.0,11.0,8.0,21.0,3.0,25.0,11.0,9.0,8.0,43.0,8.0,8.0,8.0,48.0,8.0,64.0,6.0,18.0,13.0,9.0,8.0,32.0,11.0,8.0,8.0,47.0,6.0,76.0,6.0,14.0,10.0,9.0,8.0,45.0,9.0,45.0,25.0,60.0,7.0,63.0,6.0,58.0,43.0,8.0,8.0,48.0,18.0,35.0,21.0,19.0,7.0,15.0,5.0,43.0,34.0,7.0,8.0,36.0,9.0,26.0,17.0,52.0,8.0,76.0,6.0,30.0,26.0,7.0,11.0,33.0,19.0,20.0,16.0,13.0,8.0,27.0,0.0,23.0,22.0,8.0,11.0,33.0,7.0,15.0,13.0,52.0,8.0,77.0,9.0,17.0,17.0,7.0,10.0,93.0,19.0,14.0,11.0,11.0,6.0,30.0,4.0,15.0,15.0,10.0,9.0,132.0,56.0,12.0,10.0,11.0,7.0,34.0,0.0,13.0,12.0,10.0,9.0,119.0,13.0,11.0,9.0,49.0,6.0,93.0,6.0,10.0,32265.0
1582898635073695898,9.0,8.0,84.0,10.0,10.0,9.0,50.0,7.0,81.0,5.0,32.0,10.0,8.0,8.0,59.0,22.0,9.0,9.0,10.0,8.0,21.0,4.0,27.0,11.0,10.0,8.0,43.0,7.0,8.0,8.0,48.0,7.0,86.0,6.0,20.0,10.0,9.0,8.0,32.0,7.0,9.0,7.0,49.0,6.0,83.0,8.0,19.0,9.0,8.0,8.0,46.0,8.0,46.0,26.0,61.0,8.0,71.0,5.0,58.0,43.0,8.0,7.0,49.0,19.0,36.0,21.0,19.0,7.0,14.0,4.0,43.0,34.0,10.0,9.0,35.0,11.0,27.0,17.0,55.0,6.0,69.0,8.0,29.0,26.0,8.0,11.0,32.0,20.0,20.0,16.0,15.0,7.0,27.0,2.0,22.0,22.0,8.0,11.0,33.0,8.0,16.0,12.0,52.0,6.0,78.0,7.0,17.0,15.0,8.0,9.0,93.0,20.0,13.0,12.0,11.0,8.0,28.0,1.0,14.0,15.0,10.0,9.0,132.0,56.0,12.0,10.0,11.0,7.0,34.0,0.0,13.0,12.0,10.0,9.0,119.0,13.0,11.0,9.0,49.0,6.0,93.0,6.0,10.0,32265.0
1582898635094182014,9.0,9.0,85.0,9.0,10.0,9.0,48.0,6.0,74.0,7.0,31.0,11.0,9.0,6.0,60.0,21.0,10.0,10.0,9.0,7.0,22.0,1.0,27.0,11.0,8.0,6.0,44.0,9.0,9.0,9.0,51.0,7.0,80.0,7.0,17.0,11.0,9.0,9.0,32.0,7.0,9.0,8.0,48.0,7.0,60.0,8.0,16.0,9.0,7.0,9.0,46.0,7.0,45.0,26.0,61.0,7.0,74.0,8.0,57.0,42.0,7.0,8.0,48.0,18.0,34.0,21.0,19.0,7.0,14.0,3.0,43.0,34.0,7.0,8.0,35.0,10.0,27.0,18.0,55.0,8.0,69.0,7.0,32.0,27.0,8.0,12.0,33.0,9.0,20.0,16.0,54.0,7.0,91.0,7.0,24.0,20.0,8.0,11.0,33.0,8.0,16.0,12.0,52.0,6.0,78.0,7.0,17.0,15.0,8.0,9.0,93.0,20.0,13.0,12.0,11.0,8.0,28.0,1.0,14.0,15.0,11.0,10.0,132.0,11.0,12.0,9.0,47.0,7.0,91.0,7.0,13.0,12.0,10.0,9.0,119.0,12.0,11.0,10.0,45.0,7.0,85.0,8.0,10.0,32266.0
1582898635113843917,9.0,8.0,85.0,9.0,9.0,9.0,49.0,7.0,90.0,7.0,31.0,12.0,8.0,7.0,61.0,20.0,10.0,10.0,9.0,9.0,22.0,2.0,25.0,10.0,8.0,7.0,45.0,9.0,8.0,8.0,50.0,7.0,75.0,8.0,20.0,11.0,7.0,8.0,32.0,9.0,8.0,8.0,47.0,7.0,67.0,7.0,17.0,10.0,8.0,8.0,45.0,9.0,46.0,27.0,61.0,7.0,74.0,9.0,57.0,44.0,7.0,8.0,48.0,17.0,37.0,19.0,20.0,8.0,14.0,4.0,43.0,33.0,7.0,8.0,35.0,10.0,27.0,18.0,55.0,8.0,69.0,7.0,32.0,27.0,8.0,12.0,33.0,9.0,20.0,16.0,54.0,7.0,91.0,7.0,24.0,20.0,7.0,10.0,33.0,7.0,16.0,14.0,52.0,6.0,74.0,9.0,16.0,15.0,8.0,9.0,94.0,18.0,13.0,12.0,11.0,7.0,30.0,0.0,13.0,15.0,10.0,9.0,132.0,13.0,12.0,11.0,48.0,8.0,100.0,9.0,13.0,11.0,11.0,8.0,119.0,52.0,10.0,9.0,10.0,6.0,31.0,0.0,11.0,32266.0
1582898635134138107,8.0,7.0,84.0,9.0,9.0,10.0,49.0,8.0,85.0,6.0,32.0,11.0,8.0,8.0,60.0,22.0,9.0,8.0,10.0,6.0,21.0,3.0,26.0,12.0,9.0,7.0,44.0,7.0,9.0,9.0,48.0,7.0,77.0,6.0,21.0,9.0,8.0,8.0,31.0,8.0,10.0,8.0,48.0,6.0,68.0,7.0,14.0,9.0,8.0,8.0,45.0,9.0,46.0,27.0,61.0,7.0,74.0,9.0,57.0,44.0,7.0,8.0,48.0,17.0,37.0,19.0,20.0,8.0,14.0,4.0,43.0,33.0,7.0,10.0,35.0,10.0,26.0,17.0,55.0,7.0,82.0,7.0,33.0,24.0,8.0,11.0,34.0,19.0,20.0,14.0,14.0,8.0,28.0,1.0,23.0,20.0,8.0,12.0,32.0,8.0,17.0,13.0,52.0,7.0,88.0,6.0,16.0,17.0,7.0,9.0,93.0,19.0,14.0,9.0,11.0,8.0,31.0,1.0,14.0,14.0,10.0,9.0,132.0,11.0,11.0,10.0,48.0,6.0,94.0,7.0,15.0,13.0,10.0,9.0,119.0,12.0,10.0,10.0,48.0,7.0,100.0,6.0,9.0,32268.0
