%time,field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,field52,field53,field54,field55,field56,field57,field58,field59,field60,field61,field62,field63,field64,field65,field66,field67,field68,field69,field70,field71,field72,field73,field74,field75,field76,field77,field78,field79,field80,field81,field82,field83,field84,field85,field86,field87,field88,field89,field90,field91,field92,field93,field94,field95,field96,field97,field98,field99,field100,field101,field102,field103,field104,field105,field106,field107,field108,field109,field110,field111,field112,field113,field114,field115,field116,field117,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,field131,field132,field133,field134,field135,field136,field137,field138,field139,field140,field141,field142,field143
1582898600823189973,8.0,8.0,78.0,9.0,9.0,8.0,49.0,6.0,93.0,7.0,30.0,11.0,8.0,7.0,57.0,19.0,10.0,9.0,10.0,7.0,18.0,3.0,27.0,10.0,6.0,8.0,41.0,6.0,6.0,8.0,47.0,8.0,83.0,7.0,20.0,9.0,7.0,7.0,30.0,6.0,8.0,8.0,46.0,7.0,81.0,7.0,19.0,10.0,9.0,8.0,41.0,8.0,39.0,25.0,59.0,7.0,81.0,8.0,56.0,34.0,8.0,7.0,42.0,19.0,31.0,19.0,18.0,7.0,12.0,0.0,41.0,28.0,7.0,8.0,31.0,11.0,22.0,17.0,53.0,7.0,79.0,6.0,29.0,24.0,7.0,12.0,30.0,17.0,19.0,17.0,14.0,8.0,24.0,0.0,22.0,18.0,8.0,10.0,29.0,8.0,16.0,11.0,49.0,7.0,90.0,8.0,17.0,16.0,52.0,9.0,88.0,8.0,14.0,11.0,0.0,7.0,23.0,6.0,14.0,14.0,10.0,9.0,117.0,10.0,11.0,10.0,10.0,7.0,29.0,7.0,11.0,11.0,10.0,8.0,110.0,55.0,11.0,10.0,9.0,6.0,27.0,0.0,11.0,32266.0
1582898600843357086,9.0,8.0,79.0,7.0,9.0,8.0,50.0,7.0,84.0,7.0,33.0,10.0,8.0,7.0,57.0,19.0,9.0,9.0,10.0,7.0,19.0,0.0,27.0,11.0,8.0,8.0,42.0,9.0,8.0,8.0,48.0,7.0,83.0,5.0,20.0,9.0,10.0,9.0,31.0,5.0,8.0,8.0,46.0,8.0,82.0,6.0,14.0,8.0,9.0,8.0,41.0,8.0,39.0,25.0,59.0,7.0,81.0,8.0,56.0,34.0,8.0,7.0,42.0,19.0,31.0,19.0,18.0,7.0,12.0,0.0,41.0,28.0,8.0,7.0,31.0,9.0,24.0,16.0,53.0,8.0,85.0,8.0,30.0,22.0,8.0,10.0,29.0,20.0,18.0,15.0,13.0,8.0,26.0,0.0,23.0,20.0,8.0,10.0,30.0,9.0,16.0,12.0,49.0,7.0,90.0,6.0,17.0,13.0,8.0,10.0,87.0,19.0,12.0,12.0,12.0,6.0,26.0,0.0,15.0,14.0,10.0,10.0,119.0,9.0,11.0,9.0,48.0,6.0,95.0,7.0,13.0,10.0,9.0,9.0,110.0,8.0,10.0,8.0,48.0,7.0,97.0,8.0,10.0,32266.0
1582898600863274097,9.0,8.0,80.0,9.0,10.0,9.0,49.0,7.0,85.0,7.0,31.0,10.0,10.0,8.0,57.0,20.0,10.0,9.0,9.0,7.0,18.0,1.0,27.0,8.0,8.0,8.0,42.0,9.0,8.0,8.0,48.0,7.0,83.0,5.0,20.0,9.0,10.0,9.0,31.0,5.0,8.0,8.0,46.0,8.0,82.0,6.0,14.0,8.0,8.0,7.0,40.0,7.0,40.0,25.0,60.0,7.0,81.0,6.0,56.0,36.0,7.0,7.0,39.0,17.0,30.0,19.0,18.0,8.0,13.0,0.0,39.0,28.0,8.0,8.0,30.0,9.0,23.0,16.0,52.0,7.0,85.0,7.0,29.0,24.0,7.0,11.0,30.0,9.0,17.0,14.0,51.0,7.0,90.0,6.0,21.0,18.0,7.0,10.0,30.0,8.0,15.0,12.0,49.0,7.0,78.0,7.0,18.0,15.0,7.0,9.0,85.0,19.0,12.0,11.0,9.0,7.0,27.0,0.0,16.0,14.0,10.0,9.0,118.0,55.0,12.0,10.0,9.0,8.0,29.0,0.0,13.0,11.0,9.0,9.0,112.0,8.0,10.0,9.0,47.0,6.0,94.0,6.0,11.0,32267.0
1582898600883569955,9.0,8.0,80.0,9.0,10.0,9.0,49.0,7.0,85.0,7.0,31.0,10.0,10.0,8.0,57.0,20.0,10.0,9.0,9.0,7.0,18.0,1.0,27.0,8.0,9.0,8.0,42.0,9.0,9.0,8.0,48.0,7.0,86.0,5.0,21.0,8.0,9.0,7.0,31.0,7.0,8.0,8.0,47.0,8.0,75.0,7.0,16.0,8.0,9.0,6.0,42.0,9.0,38.0,26.0,61.0,8.0,78.0,7.0,57.0,38.0,10.0,6.0,41.0,19.0,30.0,22.0,17.0,8.0,10.0,1.0,39.0,28.0,8.0,7.0,31.0,9.0,24.0,17.0,52.0,7.0,77.0,6.0,29.0,23.0,8.0,12.0,31.0,19.0,19.0,15.0,13.0,8.0,25.0,0.0,21.0,19.0,8.0,10.0,31.0,9.0,15.0,12.0,48.0,6.0,84.0,7.0,16.0,15.0,7.0,10.0,87.0,20.0,12.0,10.0,12.0,7.0,26.0,1.0,14.0,12.0,10.0,9.0,119.0,7.0,12.0,9.0,48.0,7.0,93.0,6.0,11.0,11.0,10.0,9.0,112.0,9.0,10.0,10.0,48.0,7.0,89.0,8.0,9.0,32266.0
1582898600903424024,9.0,8.0,80.0,9.0,9.0,8.0,50.0,6.0,82.0,8.0,32.0,8.0,10.0,9.0,58.0,18.0,8.0,9.0,10.0,7.0,18.0,0.0,27.0,9.0,7.0,8.0,42.0,9.0,8.0,8.0,48.0,7.0,86.0,7.0,19.0,8.0,9.0,8.0,32.0,7.0,8.0,8.0,48.0,7.0,77.0,7.0,15.0,8.0,8.0,7.0,41.0,7.0,39.0,25.0,59.0,6.0,77.0,9.0,55.0,35.0,10.0,7.0,40.0,18.0,31.0,21.0,18.0,8.0,14.0,0.0,40.0,28.0,9.0,9.0,31.0,13.0,22.0,16.0,52.0,8.0,83.0,6.0,29.0,24.0,7.0,12.0,30.0,20.0,18.0,16.0,13.0,7.0,25.0,0.0,23.0,19.0,7.0,10.0,31.0,9.0,15.0,11.0,49.0,6.0,92.0,8.0,16.0,15.0,7.0,9.0,88.0,19.0,13.0,11.0,10.0,8.0,24.0,0.0,15.0,15.0,10.0,9.0,119.0,7.0,12.0,9.0,48.0,7.0,93.0,6.0,11.0,11.0,10.0,9.0,112.0,9.0,10.0,10.0,48.0,7.0,89.0,8.0,9.0,32266.0
1582898600923536062,9.0,8.0,79.0,9.0,9.0,8.0,48.0,8.0,86.0,7.0,32.0,10.0,8.0,9.0,57.0,20.0,9.0,7.0,10.0,7.0,19.0,0.0,26.0,11.0,9.0,7.0,42.0,9.0,9.0,8.0,49.0,6.0,73.0,6.0,20.0,8.0,9.0,8.0,31.0,7.0,8.0,8.0,48.0,7.0,82.0,7.0,15.0,10.0,9.0,8.0,41.0,7.0,40.0,25.0,59.0,6.0,83.0,8.0,56.0,37.0,7.0,8.0,41.0,19.0,31.0,19.0,17.0,7.0,11.0,2.0,41.0,26.0,8.0,8.0,31.0,9.0,23.0,16.0,53.0,6.0,79.0,7.0,30.0,21.0,9.0,12.0,29.0,20.0,19.0,14.0,14.0,7.0,24.0,0.0,23.0,20.0,7.0,10.0,31.0,9.0,15.0,11.0,49.0,6.0,92.0,8.0,16.0,15.0,7.0,9.0,88.0,19.0,13.0,11.0,10.0,8.0,24.0,0.0,15.0,15.0,10.0,8.0,117.0,9.0,12.0,10.0,49.0,7.0,94.0,8.0,11.0,10.0,9.0,9.0,111.0,55.0,10.0,9.0,9.0,9.0,27.0,0.0,10.0,32266.0
1582898600943335056,9.0,8.0,80.0,9.0,9.0,9.0,48.0,6.0,88.0,8.0,32.0,10.0,8.0,9.0,57.0,17.0,8.0,9.0,8.0,8.0,20.0,1.0,27.0,10.0,8.0,7.0,42.0,5.0,9.0,8.0,48.0,7.0,81.0,6.0,18.0,10.0,8.0,8.0,31.0,5.0,7.0,10.0,49.0,7.0,75.0,6.0,15.0,7.0,9.0,7.0,41.0,8.0,40.0,25.0,59.0,7.0,79.0,6.0,56.0,36.0,7.0,6.0,41.0,19.0,31.0,21.0,19.0,7.0,12.0,0.0,40.0,29.0,8.0,8.0,31.0,9.0,23.0,16.0,53.0,6.0,79.0,7.0,30.0,21.0,9.0,12.0,29.0,20.0,19.0,14.0,14.0,7.0,24.0,0.0,23.0,20.0,8.0,11.0,31.0,9.0,16.0,12.0,48.0,6.0,89.0,8.0,17.0,15.0,8.0,10.0,87.0,19.0,12.0,11.0,11.0,6.0,26.0,0.0,13.0,13.0,12.0,10.0,119.0,9.0,11.0,8.0,48.0,8.0,97.0,7.0,12.0,12.0,10.0,8.0,111.0,8.0,10.0,8.0,46.0,8.0,93.0,6.0,11.0,32265.0
1582898600963526964,10.0,8.0,81.0,48.0,9.0,8.0,12.0,7.0,21.0,0.0,34.0,9.0,9.0,8.0,58.0,9.0,9.0,9.0,48.0,8.0,81.0,6.0,26.0,11.0,9.0,8.0,43.0,7.0,8.0,8.0,48.0,5.0,85.0,6.0,21.0,9.0,8.0,5.0,31.0,7.0,8.0,8.0,46.0,6.0,82.0,8.0,17.0,6.0,9.0,7.0,41.0,8.0,40.0,25.0,59.0,7.0,79.0,6.0,56.0,36.0,7.0,6.0,41.0,19.0,31.0,21.0,19.0,7.0,12.0,0.0,40.0,29.0,7.0,9.0,31.0,11.0,23.0,17.0,53.0,5.0,80.0,8.0,30.0,21.0,8.0,11.0,30.0,20.0,19.0,15.0,14.0,7.0,27.0,0.0,23.0,19.0,8.0,10.0,29.0,9.0,16.0,12.0,12.0,6.0,21.0,7.0,15.0,17.0,7.0,9.0,87.0,54.0,13.0,10.0,10.0,7.0,25.0,0.0,14.0,12.0,10.0,9.0,120.0,9.0,11.0,9.0,45.0,7.0,98.0,7.0,12.0,11.0,10.0,8.0,112.0,9.0,10.0,9.0,45.0,7.0,92.0,7.0,9.0,32266.0
1582898600983345031,8.0,8.0,81.0,7.0,9.0,8.0,48.0,7.0,92.0,6.0,34.0,9.0,7.0,7.0,59.0,18.0,9.0,9.0,9.0,7.0,18.0,0.0,25.0,11.0,9.0,8.0,43.0,7.0,8.0,8.0,48.0,5.0,85.0,6.0,21.0,9.0,8.0,5.0,31.0,7.0,8.0,8.0,46.0,6.0,82.0,8.0,17.0,6.0,8.0,8.0,41.0,7.0,41.0,24.0,60.0,6.0,84.0,7.0,57.0,34.0,7.0,8.0,40.0,18.0,32.0,20.0,18.0,7.0,14.0,0.0,41.0,30.0,9.0,8.0,32.0,9.0,23.0,17.0,53.0,7.0,84.0,8.0,29.0,23.0,8.0,11.0,30.0,20.0,18.0,13.0,13.0,7.0,24.0,0.0,23.0,18.0,7.0,11.0,30.0,7.0,16.0,12.0,49.0,7.0,88.0,7.0,19.0,15.0,6.0,8.0,89.0,20.0,14.0,9.0,10.0,7.0,26.0,3.0,13.0,16.0,10.0,8.0,119.0,9.0,11.0,10.0,48.0,7.0,95.0,6.0,11.0,12.0,10.0,8.0,113.0,9.0,9.0,9.0,48.0,7.0,95.0,5.0,11.0,32265.0
1582898601003591060,8.0,8.0,81.0,7.0,9.0,8.0,48.0,7.0,92.0,6.0,34.0,9.0,7.0,7.0,59.0,18.0,9.0,9.0,9.0,7.0,18.0,0.0,25.0,11.0,8.0,8.0,43.0,7.0,9.0,6.0,48.0,6.0,82.0,7.0,21.0,9.0,9.0,8.0,31.0,7.0,9.0,8.0,46.0,6.0,81.0,7.0,13.0,10.0,8.0,9.0,42.0,6.0,40.0,24.0,60.0,8.0,82.0,6.0,57.0,33.0,9.0,8.0,41.0,20.0,30.0,22.0,19.0,7.0,14.0,0.0,41.0,27.0,8.0,9.0,31.0,9.0,24.0,17.0,54.0,6.0,83.0,7.0,29.0,22.0,7.0,11.0,29.0,19.0,18.0,14.0,13.0,7.0,24.0,0.0,22.0,19.0,8.0,11.0,29.0,9.0,15.0,13.0,48.0,7.0,83.0,7.0,18.0,16.0,6.0,12.0,89.0,19.0,12.0,10.0,11.0,7.0,26.0,1.0,13.0,12.0,10.0,9.0,119.0,9.0,11.0,10.0,46.0,7.0,85.0,7.0,12.0,11.0,11.0,9.0,112.0,8.0,10.0,9.0,48.0,7.0,96.0,6.0,9.0,32265.0
