%time,field0,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,field52,field53,field54,field55,field56,field57,field58,field59,field60,field61,field62,field63,field64,field65,field66,field67,field68,field69,field70,field71,field72,field73,field74,field75,field76,field77,field78,field79,field80,field81,field82,field83,field84,field85,field86,field87,field88,field89,field90,field91,field92,field93,field94,field95,field96,field97,field98,field99,field100,field101,field102,field103,field104,field105,field106,field107,field108,field109,field110,field111,field112,field113,field114,field115,field116,field117,field118,field119,field120,field121,field122,field123,field124,field125,field126,field127,field128,field129,field130,field131,field132,field133,field134,field135,field136,field137,field138,field139,field140,field141,field142,field143
1582898434357846975,8.0,10.0,69.0,5.0,9.0,9.0,66.0,8.0,95.0,7.0,22.0,7.0,7.0,8.0,50.0,19.0,9.0,8.0,31.0,7.0,26.0,0.0,24.0,10.0,8.0,7.0,36.0,9.0,8.0,9.0,64.0,6.0,89.0,8.0,18.0,10.0,9.0,8.0,27.0,7.0,9.0,8.0,59.0,7.0,68.0,7.0,14.0,9.0,9.0,7.0,27.0,7.0,28.0,17.0,62.0,7.0,79.0,7.0,34.0,27.0,6.0,8.0,27.0,19.0,23.0,15.0,18.0,7.0,16.0,6.0,26.0,21.0,9.0,9.0,20.0,9.0,17.0,12.0,54.0,6.0,80.0,9.0,19.0,18.0,7.0,13.0,22.0,19.0,14.0,11.0,13.0,7.0,26.0,1.0,15.0,15.0,6.0,12.0,24.0,57.0,13.0,10.0,11.0,7.0,21.0,0.0,13.0,13.0,8.0,10.0,87.0,9.0,10.0,9.0,50.0,6.0,101.0,7.0,10.0,13.0,9.0,9.0,114.0,7.0,9.0,9.0,48.0,8.0,100.0,7.0,7.0,12.0,8.0,9.0,96.0,7.0,9.0,9.0,49.0,6.0,101.0,8.0,9.0,32264.0
1582898434377836942,9.0,9.0,70.0,9.0,6.0,9.0,67.0,6.0,88.0,8.0,23.0,9.0,8.0,9.0,50.0,20.0,8.0,7.0,30.0,8.0,23.0,0.0,24.0,9.0,8.0,8.0,37.0,7.0,9.0,8.0,64.0,8.0,83.0,8.0,19.0,8.0,9.0,9.0,27.0,8.0,9.0,7.0,58.0,7.0,83.0,8.0,11.0,9.0,8.0,8.0,29.0,9.0,28.0,17.0,62.0,8.0,84.0,8.0,33.0,27.0,6.0,8.0,27.0,19.0,23.0,15.0,18.0,7.0,16.0,6.0,26.0,21.0,9.0,9.0,20.0,9.0,17.0,12.0,54.0,6.0,80.0,9.0,19.0,18.0,7.0,12.0,22.0,19.0,15.0,11.0,13.0,8.0,26.0,0.0,15.0,14.0,8.0,12.0,24.0,7.0,12.0,10.0,51.0,7.0,82.0,7.0,12.0,12.0,7.0,12.0,89.0,19.0,11.0,8.0,11.0,7.0,38.0,0.0,11.0,12.0,9.0,10.0,113.0,7.0,9.0,9.0,48.0,6.0,100.0,7.0,11.0,12.0,8.0,9.0,96.0,5.0,9.0,8.0,48.0,7.0,106.0,8.0,8.0,32267.0
1582898434397664070,8.0,8.0,70.0,8.0,9.0,7.0,68.0,5.0,97.0,7.0,23.0,10.0,8.0,8.0,50.0,18.0,9.0,9.0,29.0,8.0,24.0,1.0,21.0,9.0,7.0,7.0,37.0,7.0,9.0,8.0,64.0,7.0,91.0,7.0,20.0,11.0,9.0,9.0,27.0,8.0,9.0,7.0,58.0,7.0,83.0,8.0,11.0,9.0,8.0,8.0,29.0,9.0,28.0,17.0,62.0,8.0,84.0,8.0,33.0,27.0,7.0,8.0,27.0,19.0,22.0,13.0,18.0,6.0,15.0,3.0,25.0,22.0,7.0,9.0,21.0,8.0,17.0,12.0,55.0,7.0,83.0,8.0,19.0,18.0,8.0,13.0,23.0,7.0,15.0,11.0,53.0,8.0,96.0,9.0,15.0,15.0,7.0,12.0,24.0,9.0,12.0,9.0,49.0,6.0,87.0,6.0,15.0,13.0,56.0,10.0,85.0,9.0,11.0,10.0,0.0,6.0,38.0,8.0,12.0,9.0,9.0,11.0,113.0,8.0,9.0,10.0,9.0,5.0,41.0,7.0,11.0,10.0,7.0,9.0,96.0,55.0,8.0,8.0,9.0,7.0,39.0,0.0,8.0,32266.0
1582898434417687892,8.0,8.0,70.0,8.0,9.0,8.0,67.0,7.0,89.0,9.0,23.0,10.0,8.0,8.0,50.0,18.0,9.0,9.0,29.0,8.0,24.0,1.0,21.0,9.0,7.0,7.0,37.0,7.0,9.0,8.0,64.0,7.0,91.0,7.0,20.0,11.0,9.0,8.0,27.0,5.0,8.0,8.0,60.0,8.0,83.0,6.0,13.0,10.0,8.0,5.0,28.0,8.0,28.0,16.0,61.0,7.0,89.0,9.0,35.0,28.0,8.0,8.0,26.0,17.0,23.0,14.0,18.0,8.0,15.0,1.0,25.0,21.0,8.0,9.0,21.0,8.0,17.0,11.0,55.0,6.0,81.0,10.0,19.0,17.0,7.0,14.0,23.0,19.0,14.0,11.0,13.0,5.0,27.0,2.0,15.0,14.0,8.0,13.0,24.0,9.0,12.0,10.0,50.0,7.0,88.0,8.0,13.0,12.0,7.0,10.0,87.0,19.0,11.0,7.0,10.0,7.0,38.0,3.0,13.0,12.0,8.0,12.0,114.0,9.0,9.0,9.0,48.0,7.0,108.0,9.0,11.0,11.0,9.0,9.0,95.0,8.0,9.0,10.0,48.0,7.0,102.0,8.0,9.0,32264.0
1582898434437768936,8.0,9.0,67.0,7.0,9.0,8.0,67.0,7.0,89.0,9.0,23.0,10.0,8.0,7.0,50.0,20.0,8.0,6.0,29.0,7.0,26.0,0.0,23.0,11.0,7.0,7.0,36.0,6.0,9.0,8.0,65.0,5.0,88.0,8.0,17.0,12.0,8.0,8.0,28.0,8.0,7.0,8.0,58.0,7.0,88.0,8.0,14.0,9.0,8.0,8.0,28.0,7.0,28.0,17.0,61.0,7.0,88.0,6.0,35.0,25.0,8.0,9.0,27.0,19.0,21.0,17.0,16.0,7.0,17.0,0.0,26.0,22.0,8.0,8.0,19.0,10.0,17.0,12.0,54.0,8.0,86.0,9.0,21.0,17.0,8.0,14.0,23.0,20.0,15.0,13.0,13.0,8.0,26.0,1.0,16.0,15.0,10.0,12.0,23.0,9.0,12.0,10.0,49.0,7.0,86.0,8.0,14.0,12.0,7.0,10.0,87.0,20.0,8.0,8.0,10.0,7.0,35.0,0.0,11.0,11.0,9.0,10.0,114.0,55.0,9.0,8.0,9.0,7.0,44.0,0.0,10.0,9.0,9.0,9.0,95.0,8.0,9.0,10.0,48.0,7.0,102.0,8.0,9.0,32264.0
1582898434457731008,8.0,8.0,69.0,7.0,9.0,8.0,67.0,8.0,94.0,7.0,23.0,10.0,8.0,8.0,51.0,19.0,6.0,9.0,29.0,7.0,25.0,2.0,22.0,9.0,7.0,7.0,37.0,7.0,9.0,9.0,64.0,7.0,87.0,6.0,18.0,11.0,8.0,8.0,27.0,9.0,8.0,8.0,57.0,7.0,81.0,6.0,13.0,10.0,8.0,8.0,28.0,9.0,28.0,17.0,61.0,8.0,85.0,6.0,34.0,26.0,10.0,9.0,26.0,21.0,22.0,15.0,18.0,6.0,14.0,5.0,27.0,23.0,8.0,9.0,21.0,10.0,17.0,13.0,56.0,7.0,85.0,9.0,19.0,17.0,6.0,15.0,23.0,18.0,13.0,11.0,13.0,7.0,29.0,2.0,17.0,14.0,7.0,13.0,23.0,7.0,12.0,9.0,49.0,6.0,90.0,8.0,12.0,15.0,7.0,10.0,87.0,20.0,8.0,8.0,10.0,7.0,35.0,0.0,11.0,11.0,9.0,10.0,114.0,55.0,9.0,8.0,9.0,7.0,44.0,0.0,10.0,9.0,9.0,10.0,96.0,8.0,9.0,8.0,48.0,5.0,106.0,7.0,10.0,32264.0
1582898434478457927,9.0,9.0,69.0,7.0,9.0,7.0,66.0,6.0,102.0,6.0,23.0,9.0,8.0,8.0,50.0,19.0,9.0,9.0,30.0,7.0,26.0,0.0,22.0,11.0,9.0,8.0,36.0,8.0,9.0,6.0,64.0,7.0,87.0,7.0,17.0,11.0,9.0,8.0,28.0,7.0,9.0,8.0,59.0,9.0,83.0,6.0,14.0,9.0,8.0,8.0,28.0,7.0,28.0,17.0,61.0,7.0,78.0,7.0,33.0,25.0,8.0,6.0,25.0,19.0,22.0,15.0,19.0,8.0,14.0,3.0,25.0,21.0,8.0,9.0,21.0,8.0,17.0,13.0,54.0,6.0,83.0,9.0,19.0,18.0,6.0,15.0,23.0,18.0,13.0,11.0,13.0,7.0,29.0,2.0,17.0,14.0,7.0,13.0,23.0,7.0,12.0,9.0,49.0,6.0,90.0,8.0,12.0,15.0,7.0,9.0,87.0,22.0,10.0,11.0,10.0,7.0,36.0,0.0,13.0,10.0,9.0,10.0,113.0,8.0,10.0,9.0,48.0,8.0,111.0,8.0,9.0,9.0,10.0,9.0,96.0,9.0,8.0,9.0,49.0,7.0,99.0,8.0,10.0,32266.0
1582898434497786045,8.0,8.0,69.0,9.0,9.0,8.0,65.0,7.0,101.0,7.0,24.0,9.0,7.0,8.0,50.0,20.0,8.0,9.0,30.0,8.0,24.0,0.0,23.0,10.0,8.0,8.0,37.0,9.0,8.0,7.0,65.0,7.0,87.0,6.0,17.0,9.0,9.0,8.0,28.0,8.0,8.0,9.0,59.0,7.0,86.0,8.0,13.0,6.0,9.0,8.0,27.0,5.0,28.0,17.0,63.0,7.0,81.0,9.0,35.0,25.0,8.0,6.0,25.0,19.0,22.0,15.0,19.0,8.0,14.0,3.0,25.0,21.0,8.0,9.0,21.0,8.0,17.0,13.0,54.0,6.0,83.0,9.0,19.0,18.0,8.0,13.0,23.0,19.0,15.0,11.0,13.0,7.0,27.0,0.0,17.0,16.0,8.0,12.0,24.0,9.0,12.0,10.0,11.0,8.0,22.0,6.0,13.0,13.0,7.0,11.0,88.0,18.0,12.0,9.0,11.0,8.0,36.0,0.0,11.0,11.0,8.0,10.0,112.0,7.0,9.0,9.0,50.0,6.0,105.0,9.0,10.0,10.0,9.0,10.0,96.0,52.0,10.0,9.0,9.0,7.0,39.0,0.0,10.0,32265.0
1582898434517879009,8.0,9.0,70.0,9.0,7.0,8.0,67.0,8.0,98.0,7.0,23.0,9.0,8.0,9.0,50.0,19.0,8.0,8.0,30.0,7.0,24.0,5.0,23.0,10.0,7.0,8.0,36.0,7.0,8.0,8.0,65.0,6.0,88.0,10.0,16.0,7.0,9.0,8.0,28.0,8.0,8.0,9.0,59.0,7.0,86.0,8.0,13.0,6.0,9.0,8.0,27.0,5.0,28.0,17.0,63.0,7.0,81.0,9.0,35.0,25.0,8.0,11.0,26.0,19.0,22.0,15.0,19.0,7.0,15.0,2.0,26.0,20.0,8.0,8.0,22.0,9.0,17.0,12.0,55.0,6.0,79.0,9.0,18.0,18.0,6.0,13.0,23.0,20.0,13.0,9.0,12.0,8.0,26.0,0.0,15.0,14.0,7.0,12.0,24.0,9.0,13.0,10.0,52.0,6.0,87.0,7.0,13.0,12.0,8.0,11.0,90.0,20.0,11.0,8.0,10.0,7.0,36.0,2.0,12.0,10.0,10.0,10.0,113.0,9.0,10.0,9.0,49.0,7.0,114.0,9.0,11.0,10.0,9.0,8.0,96.0,9.0,8.0,8.0,49.0,7.0,110.0,8.0,10.0,32264.0
1582898434537863969,8.0,9.0,70.0,9.0,7.0,9.0,26.0,6.0,33.0,0.0,24.0,9.0,8.0,9.0,50.0,19.0,8.0,8.0,30.0,7.0,24.0,5.0,23.0,10.0,7.0,8.0,36.0,7.0,8.0,8.0,65.0,6.0,88.0,10.0,16.0,7.0,8.0,8.0,27.0,7.0,9.0,8.0,60.0,7.0,83.0,7.0,14.0,8.0,9.0,7.0,28.0,8.0,28.0,16.0,63.0,7.0,83.0,8.0,34.0,27.0,8.0,8.0,27.0,21.0,21.0,16.0,19.0,9.0,16.0,6.0,27.0,20.0,7.0,9.0,21.0,10.0,20.0,13.0,56.0,7.0,86.0,8.0,19.0,18.0,4.0,14.0,22.0,18.0,14.0,10.0,13.0,7.0,28.0,1.0,17.0,15.0,8.0,12.0,24.0,9.0,12.0,12.0,50.0,7.0,87.0,8.0,13.0,12.0,6.0,9.0,86.0,21.0,10.0,9.0,9.0,9.0,36.0,0.0,12.0,12.0,10.0,9.0,113.0,7.0,10.0,9.0,49.0,7.0,100.0,9.0,11.0,10.0,8.0,10.0,97.0,9.0,9.0,6.0,49.0,7.0,102.0,6.0,8.0,32265.0
