A1,A2,A3,B1,B2,B3,C1,C2,C3,
153,101,41,39,73,39,13,16,7,
165,106,42,52,79,39,17,18,8,
166,107,42,51,79,39,17,17,8,
167,108,43,52,79,40,16,19,7,
167,108,43,52,80,41,17,18,7,
167,109,42,51,79,41,16,18,7,
166,109,43,52,80,40,17,18,9,
167,108,43,52,79,41,17,18,8,
167,108,43,53,80,40,15,18,9,
166,109,42,51,80,41,16,18,8,
168,109,43,52,79,41,17,17,8,
168,110,42,52,80,41,16,19,8,
168,109,42,53,80,40,16,18,8,
166,110,43,52,80,39,17,18,7,
168,110,42,52,80,42,17,18,8,
167,109,43,52,79,41,17,19,8,
168,110,42,52,80,42,16,18,6,
167,110,43,53,80,40,17,18,9,
166,110,42,53,80,40,17,18,8,
166,110,42,53,80,42,17,18,8,
167,109,43,53,80,41,16,17,8,
167,109,42,52,80,41,17,18,8,
168,110,42,53,79,40,16,17,7,
167,110,42,52,80,42,17,18,7,
167,109,44,54,79,40,17,18,8,
167,110,43,52,80,41,16,18,8,
168,110,42,52,80,42,17,19,8,
168,110,43,52,80,42,16,18,7,
168,109,44,53,80,42,16,18,8,
168,110,43,53,80,41,17,17,8,
167,109,42,54,81,42,16,18,7,
167,109,43,53,81,42,17,17,8,
168,108,43,52,82,41,16,18,8,
167,110,43,51,81,42,16,18,8,
167,109,43,52,81,42,16,18,8,
167,109,43,53,81,42,16,17,8,
167,109,43,52,82,41,16,17,7,
167,109,44,52,81,41,16,18,8,
167,109,43,52,81,41,16,17,8,
167,109,42,53,81,40,16,19,7,
167,109,44,52,82,41,16,17,8,
167,109,43,53,80,41,16,18,8,
168,110,42,54,82,41,18,18,8,
167,109,43,52,80,41,17,17,7,
167,109,43,53,80,40,16,19,8,
168,109,43,53,82,41,16,18,7,
168,109,43,52,80,41,17,18,8,
167,110,42,52,82,41,16,18,8,
167,110,43,52,82,41,17,18,9,
167,110,43,53,81,41,16,17,8,
168,109,43,52,81,41,17,18,8,
167,110,43,52,82,41,17,18,8,
167,110,43,52,82,42,16,18,8,
167,110,43,53,81,41,16,17,8,
167,109,43,53,82,40,16,17,8,
166,110,43,53,82,42,16,18,7,
166,110,42,53,81,42,16,18,8,
166,110,42,53,82,42,17,19,8,
168,109,43,53,81,42,18,17,6,
168,109,43,53,81,42,17,17,7,
167,110,43,53,83,42,17,19,8,
167,110,43,53,82,41,17,18,8,
167,110,43,53,82,42,18,19,8,
167,111,43,52,82,40,17,18,8,
167,109,43,53,82,41,17,17,8,
167,110,43,52,81,41,17,18,7,
167,110,42,53,81,42,17,18,8,
166,110,42,53,82,41,16,18,8,
167,109,43,53,82,41,15,19,8,
168,109,43,54,82,42,16,18,8,
167,109,43,54,81,41,17,18,8,
166,108,44,54,81,42,16,18,8,
167,109,43,53,81,42,16,18,8,
167,109,43,52,82,41,17,18,8,
167,109,42,53,81,42,16,19,8,
168,109,42,52,82,41,17,18,9,
166,109,43,53,82,42,18,18,8,
167,109,42,53,82,42,16,19,8,
167,110,43,53,81,41,16,19,7,
166,110,43,53,82,42,17,18,7,
168,110,43,52,82,41,16,18,8,
167,109,43,52,81,42,16,19,7,
168,110,43,53,82,41,17,18,8,
168,110,43,53,82,42,17,19,7,
168,109,43,54,82,42,16,19,8,
167,109,42,53,81,42,18,18,8,
168,109,43,53,82,41,17,18,8,
167,109,44,53,82,42,17,19,9,
167,110,43,52,82,41,17,18,8,
166,111,42,53,83,40,16,18,9,
167,109,42,53,82,41,17,18,8,
166,110,43,53,83,40,17,19,8,
167,110,42,54,83,41,17,19,8,
167,109,43,53,83,41,17,19,8,
167,111,43,52,83,41,16,19,7,
168,110,43,52,83,41,17,18,9,
168,109,42,52,82,41,17,18,7,
169,109,43,53,83,41,16,19,7,
168,110,44,53,83,41,16,19,9,
167,110,43,53,84,42,16,19,7,
167,111,43,54,83,41,16,19,7,
168,111,42,53,83,41,18,18,7,
167,110,42,54,84,42,17,19,7,
168,111,43,54,83,42,16,19,7,
168,110,43,52,83,41,15,18,8,
167,110,43,53,83,42,18,18,7,
169,108,43,54,82,42,16,18,8,
167,110,42,53,83,42,16,18,8,
168,110,43,53,83,41,18,18,7,
167,110,42,53,82,42,16,19,7,
170,110,43,53,84,42,16,19,8,
168,109,43,54,83,41,17,19,8,
167,111,43,54,84,42,17,18,9,
168,111,43,53,82,40,17,19,7,
167,110,42,53,84,42,17,18,9,
167,111,43,53,83,42,16,18,8,
167,110,42,54,83,41,18,19,8,
168,110,42,52,83,42,17,19,9,
167,110,43,54,84,42,17,18,8,
167,110,42,53,83,41,17,18,8,
167,109,43,52,83,42,17,18,8,
167,108,42,53,82,41,17,19,7,
167,110,43,53,82,41,17,18,9,
167,108,42,53,83,41,18,18,9,
167,109,43,54,83,40,17,19,9,
167,110,43,54,84,41,16,19,8,
