A1,A2,A3,B1,B2,B3,C1,C2,C3,
348,322,334,279,487,407,207,403,445,
491,427,334,526,594,406,462,548,445,
490,427,333,524,594,407,462,547,444,
492,427,333,526,595,406,462,547,446,
491,427,333,526,595,406,462,547,446,
491,428,333,526,595,405,462,548,445,
492,426,332,525,595,406,464,548,445,
492,426,333,525,595,405,463,548,445,
491,426,333,525,596,405,464,548,445,
493,426,334,526,594,406,465,548,446,
492,426,333,526,595,406,464,548,445,
491,426,334,525,595,405,463,548,445,
491,426,333,526,594,406,463,548,445,
491,425,333,526,594,405,464,548,445,
491,426,333,526,594,405,465,548,444,
492,427,332,526,596,405,465,549,446,
491,428,333,525,595,405,464,549,445,
492,427,333,526,597,405,464,549,446,
491,429,334,526,596,405,464,548,446,
491,429,335,527,596,406,465,548,445,
492,428,335,527,595,406,465,548,445,
493,429,334,528,595,405,466,548,446,
493,429,334,527,596,405,465,548,447,
492,430,335,527,595,406,464,548,447,
492,429,334,526,595,405,465,548,446,
493,429,334,528,594,405,464,547,445,
493,429,334,527,595,405,465,546,445,
492,428,334,527,595,406,464,547,446,
493,429,334,527,594,406,464,547,446,
492,428,334,526,594,406,464,547,446,
491,429,334,527,594,405,464,547,446,
491,429,335,526,594,407,464,547,446,
493,429,335,527,594,407,466,548,446,
493,429,335,526,595,407,465,549,447,
492,429,335,527,595,407,466,549,446,
493,430,335,526,596,407,465,548,447,
492,430,335,526,597,407,466,549,447,
492,429,335,527,595,406,465,548,447,
491,429,335,526,595,407,464,548,446,
492,430,335,526,596,408,465,548,447,
491,429,335,526,595,408,464,548,447,
490,429,335,526,595,408,465,547,446,
491,428,334,525,595,408,464,547,446,
492,428,335,526,596,407,465,547,447,
491,428,334,525,596,407,465,548,446,
492,427,335,526,595,407,465,548,448,
492,428,335,527,596,408,466,547,446,
492,428,335,527,597,408,466,547,446,
494,427,335,527,596,407,466,548,446,
493,427,335,527,596,408,466,549,446,
493,428,335,526,596,407,465,547,446,
493,427,335,526,595,408,466,548,446,
493,428,335,526,596,409,466,548,445,
492,427,335,527,595,408,465,548,446,
494,428,336,527,596,408,466,548,446,
493,429,336,526,595,408,466,548,446,
493,429,335,527,596,409,465,547,445,
493,428,335,527,596,408,465,548,446,
494,429,336,528,596,409,466,549,446,
493,428,336,527,594,408,465,548,446,
492,429,336,528,595,408,466,548,446,
493,429,335,528,595,409,466,549,447,
493,428,336,529,594,408,466,548,447,
493,428,335,528,595,408,466,547,447,
493,429,335,529,595,409,467,548,447,
493,428,336,528,595,408,466,548,446,
493,428,336,528,595,407,466,548,446,
492,429,336,529,595,407,467,548,446,
493,429,336,528,597,407,467,549,446,
493,429,336,529,596,407,468,549,447,
493,429,336,529,595,408,467,549,447,
493,430,336,529,596,409,468,549,447,
493,429,336,530,595,408,468,549,447,
493,429,336,529,595,409,468,549,446,
494,429,336,529,595,409,467,549,446,
493,430,336,529,594,409,467,548,446,
493,429,336,529,594,409,467,549,446,
493,429,336,529,595,409,466,549,446,
493,429,335,529,594,408,466,548,446,
493,429,336,529,595,408,467,548,446,
494,429,335,530,595,408,467,548,446,
493,429,335,529,596,408,466,549,446,
494,430,335,529,596,408,468,548,447,
495,430,336,530,595,408,467,549,447,
495,430,336,530,595,408,467,549,447,
